hold_id,hold,state,closure_evidence,work_effect,warning
R248-H01,Exact configuration and 17-row physical itemization frozen,OPEN,NOT EXECUTED,BLOCKS B-010 / R247-H11 CLOSURE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R248-H02,All received parts/lots identified and ten mass repeats recorded,OPEN,NOT EXECUTED,BLOCKS B-010 / R247-H11 CLOSURE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R248-H03,"Balance selection, calibration and uncertainty accepted",OPEN,NOT EXECUTED,BLOCKS B-010 / R247-H11 CLOSURE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R248-H04,Four assembled configurations reconciled to loose-item sums,OPEN,NOT EXECUTED,BLOCKS B-010 / R247-H11 CLOSURE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R248-H05,Two reaction instruments and support fixture calibrated,OPEN,NOT EXECUTED,BLOCKS B-010 / R247-H11 CLOSURE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R248-H06,Two-axis COM measurements completed and mass-sum checks passed,OPEN,NOT EXECUTED,BLOCKS B-010 / R247-H11 CLOSURE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R248-H07,"Bifilar fixture built, aligned and characterized",OPEN,NOT EXECUTED,BLOCKS B-010 / R247-H11 CLOSURE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R248-H08,Two similar-mass traceable calibration bodies accepted per axis,OPEN,NOT EXECUTED,BLOCKS B-010 / R247-H11 CLOSURE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R248-H09,Pure rotation and 10-50 cycle timing demonstrated,OPEN,NOT EXECUTED,BLOCKS B-010 / R247-H11 CLOSURE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R248-H10,J1/J2 inertia measurements and provisional geometry screens reconciled,OPEN,NOT EXECUTED,BLOCKS B-010 / R247-H11 CLOSURE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R248-H11,Complete uncertainty budgets and qualified technical review accepted,OPEN,NOT EXECUTED,BLOCKS B-010 / R247-H11 CLOSURE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R248-H12,"Configuration-bound results incorporated into torque, stop, structure and controls analyses",OPEN,NOT EXECUTED,BLOCKS B-010 / R247-H11 CLOSURE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
