coverage_id,ledger_id,received_part_or_lot,configuration_hash,tare_g,mean_mass_g,standard_deviation_g,expanded_uncertainty_g,coverage_factor_k,calibration_uri,raw_repeat_uri,execution_state,acceptance,approver,warning
MPC-01,V0M-001,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-02,V0M-002,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-03,V0M-003,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-04,V0M-004,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-05,V0M-005,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-06,V0M-006,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-07,V0M-007,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-08,V0M-008,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-09,V0M-009,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-10,V0M-010,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-11,V0M-011,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-12,V0M-012,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-13,V0M-013,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-14,V0M-014,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-15,V0M-015,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-16,V0M-016,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MPC-17,V0M-017,,,,,,,,,,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
