measurand,component,distribution,divisor,sensitivity_coefficient,standard_uncertainty,unit,degrees_of_freedom,source_uri,included,qualified_review,warning
SELECTION REQUIRED,balance calibration,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,balance resolution,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,balance repeatability,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,balance linearity/eccentricity,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,tare,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,drift,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,environment,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,reaction instrument calibration,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,reaction fixture/alignment,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,support coordinates,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,pendulum calibration-body inertia,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,pendulum mass,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,period fit/timing,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,axis/CG alignment,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,swing/parasitic motion,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,fixture rigidity,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SELECTION REQUIRED,configuration repeatability,SELECTION REQUIRED,,,,SELECTION REQUIRED,,,NOT EXECUTED,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
