hold_id,hold,state,closure_evidence,release_effect,warning
R269-H01,Qualified reviewer accepts the widened outward envelope and load-case allocation,OPEN,NOT EXECUTED,BLOCKS P0.9 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R269-H02,"Guard, receiver, cable and operator-clearance envelopes are regenerated and accepted",OPEN,NOT EXECUTED,BLOCKS P0.9 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R269-H03,Exact dynamic amplification and stress-concentration factors are established,OPEN,NOT EXECUTED,BLOCKS P0.9 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R269-H04,Nonlinear contact/prying/local deformation analysis is accepted,OPEN,NOT EXECUTED,BLOCKS P0.9 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R269-H05,Material certificate proves the configuration-bound yield threshold and other required properties,OPEN,NOT EXECUTED,BLOCKS P0.9 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R269-H06,"C06/C07 successor drawings, datum controls and FAI plan are accepted",OPEN,NOT EXECUTED,BLOCKS P0.9 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R269-H07,"Bumper material, retention, force-stroke, temperature and life are selected and validated",OPEN,NOT EXECUTED,BLOCKS P0.9 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R269-H08,Single-rail and two-rail proof fixtures and acceptance limits are qualified,OPEN,NOT EXECUTED,BLOCKS P0.9 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R269-H09,Five-part provider DFM and first articles are accepted,OPEN,NOT EXECUTED,BLOCKS P0.9 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R269-H10,"Received arm stack passes unpowered fit, contact-mark and deformation inspection",OPEN,NOT EXECUTED,BLOCKS P0.9 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R269-H11,"Physical stopping tests establish overtravel, rebound, peak load and no-damage behavior",OPEN,NOT EXECUTED,BLOCKS P0.9 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R269-H12,Configuration-bound qualified release and separate work authority are signed,OPEN,NOT EXECUTED,BLOCKS P0.9 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
