source_id,supplier,order_code,title,source_url,document_revision_or_date,access_date,release_effect
ARM-SRC-001,Kaiser Aluminum,SELECTION REQUIRED,Sheet Coil & Plate Alloy 6061,https://online.kaiseraluminum.com/depot/PublicProductInformation/Document/1015/Kaiser_Aluminum_6061_Sheet_Coil_and_Plate.pdf,Rev. 05/06,2026-08-07,"Typical T6/T651 properties support screening only; exact stock certificate and minimum allowables remain required"
ARM-SRC-002,Kaiser Aluminum,SELECTION REQUIRED,KaiserSelect General Engineering Plate,https://online.kaiseraluminum.com/depot/PublicProductInformation/Document/1046/KaiserSelect_General_Engineering_Plate.pdf,"Current official PDF; no formal revision exposed",2026-08-07,"6061-T651 and minimum 6.35 mm published gauge support stock-family screening only; exact order code and certificate remain required"
ARM-SRC-003,OnlineMetals,1249,3/8 inch 6061-T651 aluminum plate 8 x 8 inch candidate,https://www.onlinemetals.com/en/buy/aluminum/0-375-aluminum-plate-6061-t651/pid/1249,"Live product page; no formal revision exposed",2026-08-07,"Exact raw-stock candidate hold; one heat lot and MTR required; reference properties are not design allowables"
ARM-SRC-004,Accu,SHKL-M5-20-A2-R360,M5 x 20 A2-70 Torx countersunk screw with AccuLock 360,https://accu-components.com/us/torx-countersunk-screws/643760-SHKL-M5-20-A2-R360,"Stock record 2026-03-14; no formal document revision exposed",2026-08-07,"Exact candidate hold; received identity seating torque cure storage single-install rule and proof remain required"
ARM-SRC-005,MISUMI,SCB2.5-20,M2.5 x 20 A2-70 fully threaded socket head cap screw,https://us.misumi-ec.com/vona2/detail/110300239250/?HissuCode=SCB2.5-20,"Live U.S. configurator; no formal revision exposed",2026-08-07,"Exact candidate hold; received identity stack torque tool access and proof remain required"
ARM-SRC-006,Accu,HNN-M2.5-A2,M2.5 A2 DIN 985 nylon-insert locking nut,https://accu-components.com/us/hexagon-nylon-locking-nuts/7943-HNN-M2-5-A2,"Stock/specification record 2026-07-14",2026-08-07,"Exact candidate hold; received prevailing torque installation torque temperature single-use rule and proof remain required"
ARM-SRC-007,80/20 Inc.,20-7047,20-2040 product configurator two-hole M5 x 0.8 end-tap service,https://8020.net/20-2040.html,"Live product page; no formal revision exposed",2026-08-07,"Exact service candidate hold; supplier confirmation and received thread gauge/depth inspection remain required"
ARM-SRC-008,80/20 Inc.,40-4040,40 x 40 mm four-open-slot profile,https://8020.net/40-4040.html,"Live product page; no formal revision exposed",2026-08-07,"Exact column-profile candidate hold; received section straightness slot and proof evidence remain required"
ARM-SRC-009,80/20 Inc.,17-8520,M8 x 20 fully threaded stainless socket head screw,https://8020.net/17-8520.html,"Live product page; no formal revision exposed",2026-08-07,"Exact shoulder-support screw candidate hold; received identity engagement torque anti-galling and proof remain required"
ARM-SRC-010,80/20 Inc.,13035,M8 self-aligning roll-in T-nut with ball spring,https://8020.net/13035.html,"Live product page; no formal revision exposed",2026-08-07,"Exact shoulder-support T-nut candidate hold; received fit engagement torque pullout slip prying and proof remain required"
ARM-SRC-011,80/20 Inc.,40006-BP,Robot mounting plate T-slot hardware precedent,https://8020.net/40006-bp.html,"Live product page; no formal revision exposed",2026-08-07,"Primary-source precedent pairing 17-8520 and 13035 for 40-series T-slot mounting only; it does not validate the project plate application"
ARM-SRC-012,ROBOTIS,FR12-H104K,FR12-H104K set and controlled manufacturer drawing/STEP,https://robotis.us/fr12-h104k-set/,"Controlled drawing dated 2017-08-31; live product page exposes no formal revision",2026-08-07,"Exact H104 frame candidate and four-axis STEP subset; received identity kit contents fit and proof remain required"
ARM-SRC-013,ROBOTIS,FR13-S102K,FR13-S102K set and controlled manufacturer drawing/STEP,https://robotis.us/fr13-s102k-set/,"Controlled drawing dated 2026-01-07; live product page exposes no formal revision",2026-08-07,"Exact S102 frame candidate and rectangular STEP-axis subset; received identity kit contents fit and proof remain required"
