pod_id,channel_id,connector,side,contact,polarity,net,external_endpoint,header,mating_plug,termination,connection_released,warning
DP-01,CH-AI-01,JIN,SOURCE INPUT,1,HI/+,RAW_12V_POS,PS1:+V,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-01,CH-AI-01,JIN,SOURCE INPUT,2,LO/-,RAW_0V,PS1:-V,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-01,CH-AI-01,JOUT,LIMITED OUTPUT,1,HI/+,DP01_LIMITED_HI,measurement panel J1I.1,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-01,CH-AI-01,JOUT,LIMITED OUTPUT,2,LO/-,DP01_LIMITED_LO,measurement panel J1I.2,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-02,CH-AI-02,JIN,SOURCE INPUT,1,HI/+,TETHER_POS_SWITCHED,XT1A:P1,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-02,CH-AI-02,JIN,SOURCE INPUT,2,LO/-,RAW_0V,XT1A:P2,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-02,CH-AI-02,JOUT,LIMITED OUTPUT,1,HI/+,DP02_LIMITED_HI,measurement panel J2I.1,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-02,CH-AI-02,JOUT,LIMITED OUTPUT,2,LO/-,DP02_LIMITED_LO,measurement panel J2I.2,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-03,CH-AI-03,JIN,SOURCE INPUT,1,HI/+,TTL_LDIST_SAFE_9V,REG_TTL_L:LOG-OUT,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-03,CH-AI-03,JIN,SOURCE INPUT,2,LO/-,ACT_0V_CONTROLLED,REG_TTL_L:LOG-RET-OUT,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
