hold_id,subject,status,evidence_needed,warning
DXL-MFG-HOLD-001,fabricator/assembler selection,OPEN,"named provider capability, terms, traceability and qualified acceptance","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-002,material/stackup/copper/finish/mask/legend,OPEN,frozen fabrication specification and provider capability response,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-003,holes/profile/panel/electrical test,OPEN,"finished tolerances, panel/tooling definition and bare-board test plan","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-004,independent CAM preview,OPEN,"layer-by-layer copper, mask, silk, outline, PTH and NPTH review","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-005,connector footprint/polarity,OPEN,"qualified land-pattern, orientation, keying and pin-1 review","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-006,connector sourcing and alternates,OPEN,"exact orderable headers, traceable lots and approved alternates","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-007,mating housings and contacts,OPEN,exact housing/contact/empty-cavity identities and received compatibility,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-008,branch conductor system,OPEN,"wire gauge, length, bundling, insulation and connector derating evidence","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-009,crimp process,OPEN,"tooling, strip length, crimp-height, inspection and pull-test evidence","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-010,branch protection coordination,OPEN,"selected fuse/protection values with fault current, inrush, duty and clearing evidence","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-011,connector/actuator current conflict,OPEN,thermal/current proof resolving 3 A EH connector rating versus XM540 4.4 A stall current,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-012,DXL signal integrity,OPEN,"baud, cable topology/length, loading, waveform margin and error-rate evidence","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-013,U2D2 no-backfeed,OPEN,power-sequence and fault tests proving omitted VDD does not backfeed,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-014,return/PE/shield implementation,OPEN,"single-point bonding, shield termination and common-mode evidence","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-015,thermal/load validation,OPEN,representative continuous/peak load temperature rise and derating evidence,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-016,first article and electrical acceptance,OPEN,"received identity, dimensions, continuity/isolation and workmanship evidence","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-017,HIL/fault/EMC validation,OPEN,"branch-open/short, data faults, power sequencing, emissions and immunity evidence","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-HOLD-018,qualified release and work authority,OPEN,named qualified review plus separate written authority for each work stage,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
