path,role,bytes,sha256,release_state,warning
cam/gerbers/hr-v0-dxl-star-B_Cu.gbl,GERBER_OR_JOB,44236,1cef626ad6e8b988b311e79ec291f7822ff5bacd0a24d187616d1196e8c1fc2b,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-B_Mask.gbs,GERBER_OR_JOB,2335,fbe60c7d99748a83cdf0289b2fd48757294a02ca5ace07a729e63c7db23b80e7,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-B_Paste.gbp,GERBER_OR_JOB,474,ccb3dd82058507f75638fba7b9b4d234bc003244f0b0e1c1b6e2a240f84c1ac2,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-B_Silkscreen.gbo,GERBER_OR_JOB,475,5de351a87ea132cfcf328cee4c18a1821bc034f8b78ae92f4cfdf0dca2255305,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-Edge_Cuts.gm1,GERBER_OR_JOB,711,0fcd20ad1466213e5be5e0223ee981666504e080b2de7fae3bd9f556a5740b27,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-F_Cu.gtl,GERBER_OR_JOB,3483,8db6d7922ef108b7d4d3cd7515b790afcee82c5921705028cc2c05fe9b626ab2,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-F_Mask.gts,GERBER_OR_JOB,2335,4e23067c7737fca0637dc249f08cd06450c59f8737fba10642fcfe04df5162e3,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-F_Paste.gtp,GERBER_OR_JOB,474,47166ec146de80179884e26bb89284e3fa4ae962a92ca18b1791d5f07fea2d4b,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-F_Silkscreen.gto,GERBER_OR_JOB,46328,223bb9322d3c2aa979d4d5807f6e62a26a966eb745162cc7b24b2d9d4e79c0d4,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/hr-v0-dxl-star-job.gbrjob,GERBER_OR_JOB,2879,08d19e452ad7256edb037ca6d8eb127053246d4f7662f9bb2d43e66c967c5542,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/drill/hr-v0-dxl-star-drill-report.txt,DRILL_OR_MAP_OR_REPORT,705,86929ea97f11bd63491164927aa34f92596fb0ce3d6ea1d6e767010a81738e9a,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/drill/hr-v0-dxl-star-NPTH-drl_map.svg,DRILL_OR_MAP_OR_REPORT,25738,ffd7707fc40bf9f0a425fb6ee13e01a58cb46366253c5128bb7707dbd6e2a38a,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/drill/hr-v0-dxl-star-NPTH.drl,DRILL_OR_MAP_OR_REPORT,397,aca2891a666c3f5ffcf085fc97a4bec3859fe2a34a3ec496498d4e1c36b89ff5,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
