reference,terminal,pin_name,schedule_net,native_pad_net,parity,source_status,release_state,warning
JC1,1,GND,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,PASS,PROPOSED - TWO-WIRE CABLE TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JC1,2,VDD OMITTED,INTENTIONALLY_UNUSED_U2D2_VDD,NO_NET_NO_COPPER,PASS,PROPOSED - TWO-WIRE CABLE TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JC1,3,DATA,DXL_TTL_DATA,DXL_TTL_DATA,PASS,PROPOSED - TWO-WIRE CABLE TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JP1,1,J1 FUSED VDD,J1_VDD,J1_VDD,PASS,PROPOSED - WIRE/THERMAL TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JP1,2,COMMON RETURN,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,PASS,PROPOSED - WIRE/THERMAL TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JA1,1,GND,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,PASS,PROPOSED - CABLE/LIMIT TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JA1,2,J1 VDD,J1_VDD,J1_VDD,PASS,PROPOSED - CABLE/LIMIT TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JA1,3,DATA,DXL_TTL_DATA,DXL_TTL_DATA,PASS,PROPOSED - CABLE/LIMIT TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JP2,1,J2 FUSED VDD,J2_VDD,J2_VDD,PASS,PROPOSED - WIRE/THERMAL TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JP2,2,COMMON RETURN,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,PASS,PROPOSED - WIRE/THERMAL TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JA2,1,GND,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,PASS,PROPOSED - CABLE/LIMIT TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JA2,2,J2 VDD,J2_VDD,J2_VDD,PASS,PROPOSED - CABLE/LIMIT TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JA2,3,DATA,DXL_TTL_DATA,DXL_TTL_DATA,PASS,PROPOSED - CABLE/LIMIT TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JP3,1,J3 FUSED VDD,J3_VDD,J3_VDD,PASS,PROPOSED - WIRE/THERMAL TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JP3,2,COMMON RETURN,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,PASS,PROPOSED - WIRE/THERMAL TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JA3,1,GND,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,PASS,PROPOSED - CABLE/LIMIT TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JA3,2,J3 VDD,J3_VDD,J3_VDD,PASS,PROPOSED - CABLE/LIMIT TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
JA3,3,DATA,DXL_TTL_DATA,DXL_TTL_DATA,PASS,PROPOSED - CABLE/LIMIT TEST REQUIRED,APPLICATION HOLD - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
