feature_group,stable_owner,entity_role,dimension,resolved_occ_tag,geometric_signature_sha256,owner_face_signature_sha256,geometry_type,bbox_mm_json,identity_match,feature_preregistration_sha256,warning
BACKSIDE_BOSS_SURFACES,BOSS_XM16_ZM8,CYLINDRICAL_SURFACE,2,47,0d9ee57832e8f50edd6fdf05c90faf2640656d2f2aaab18e5650c66223ecd994,SELF,Cylinder,"[-18.6000001,-15.8750001,-10.6000001,-13.3999999,1e-07,-5.3999999]",True,79f6f897eb48c4e76112276c32c2375dbcd61f2cdb3fcf3f6082fdc7a9569aa3,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BACKSIDE_BOSS_SURFACES,BOSS_XM16_ZP8,CYLINDRICAL_SURFACE,2,48,5913c07ad065efcee623cc4d0459cafacb31e2eb728297f5564d4eb86c5b4a04,SELF,Cylinder,"[-18.6000001,-15.8750001,5.3999999,-13.3999999,1e-07,10.6000001]",True,79f6f897eb48c4e76112276c32c2375dbcd61f2cdb3fcf3f6082fdc7a9569aa3,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BACKSIDE_BOSS_SURFACES,BOSS_XP16_ZP8,CYLINDRICAL_SURFACE,2,53,4f32d157015f7959d6b460654c5ebb296af3a90ee6cd3576b23cbeb9d725ff61,SELF,Cylinder,"[13.3999999,-15.8750001,5.3999999,18.6000001,1e-07,10.6000001]",True,79f6f897eb48c4e76112276c32c2375dbcd61f2cdb3fcf3f6082fdc7a9569aa3,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BACKSIDE_BOSS_SURFACES,BOSS_XP16_ZM8,CYLINDRICAL_SURFACE,2,54,cdc7e0d8caebea97550e3f5b1a16b56e8ef9896a52cb6b441a09f359ef5d5e68,SELF,Cylinder,"[13.3999999,-15.8750001,-10.6000001,18.6000001,1e-07,-5.3999999]",True,79f6f897eb48c4e76112276c32c2375dbcd61f2cdb3fcf3f6082fdc7a9569aa3,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BACKSIDE_BOSS_BOUNDARY_CURVES,BOSS_XM16_ZM8,FRONT_INTERSECTION_RIM,1,72,ece6203cb26053b927542b153d89034d5f97acc0c9743444545a3fbe56a1ecd0,0d9ee57832e8f50edd6fdf05c90faf2640656d2f2aaab18e5650c66223ecd994,Circle,"[-16.0000001,-1e-07,-6.338675327,-13.9999999,1e-07,-5.3999999]",True,79f6f897eb48c4e76112276c32c2375dbcd61f2cdb3fcf3f6082fdc7a9569aa3,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BACKSIDE_BOSS_BOUNDARY_CURVES,BOSS_XM16_ZM8,FRONT_INTERSECTION_RIM,1,73,5bf2fc79b61ba0534d905ffb9a4c8f9fa9ebf7e04f319eef9b023d5b551ecf91,0d9ee57832e8f50edd6fdf05c90faf2640656d2f2aaab18e5650c66223ecd994,Circle,"[-18.6000001,-1e-07,-10.6000001,-13.9999999,1e-07,-5.3999999]",True,79f6f897eb48c4e76112276c32c2375dbcd61f2cdb3fcf3f6082fdc7a9569aa3,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BACKSIDE_BOSS_BOUNDARY_CURVES,BOSS_XM16_ZM8,FRONT_INTERSECTION_RIM,1,177,e6a596d6c6824827f364c031b94f4c12b4321e73047ce281ba12f34a273f6f99,0d9ee57832e8f50edd6fdf05c90faf2640656d2f2aaab18e5650c66223ecd994,BSpline,"[-14.000000101,-0.092121699,-9.661324874,-13.399999899,1.01e-07,-6.338675126]",True,79f6f897eb48c4e76112276c32c2375dbcd61f2cdb3fcf3f6082fdc7a9569aa3,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BACKSIDE_BOSS_BOUNDARY_CURVES,BOSS_XM16_ZM8,AXIAL_SEAM,1,180,9aae673165b14477325363935b94010dfd71e36635d183c245c5405edc472059,0d9ee57832e8f50edd6fdf05c90faf2640656d2f2aaab18e5650c66223ecd994,Line,"[-16.0000001,-15.8750001,-5.4000001,-15.9999999,1e-07,-5.3999999]",True,79f6f897eb48c4e76112276c32c2375dbcd61f2cdb3fcf3f6082fdc7a9569aa3,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BACKSIDE_BOSS_BOUNDARY_CURVES,BOSS_XM16_ZM8,BACK_RIM,1,181,938521ab8447542bbf9639e426a17f1c27101168020f130258ed7be81825f9c9,0d9ee57832e8f50edd6fdf05c90faf2640656d2f2aaab18e5650c66223ecd994,Circle,"[-18.6000001,-15.8750001,-10.6000001,-13.3999999,-15.8749999,-5.3999999]",True,79f6f897eb48c4e76112276c32c2375dbcd61f2cdb3fcf3f6082fdc7a9569aa3,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BACKSIDE_BOSS_BOUNDARY_CURVES,BOSS_XM16_ZP8,FRONT_INTERSECTION_RIM,1,69,7911490859941b1a8bc5a9928f3c885b3ae58483f772853677eb0ec4e6b99daf,5913c07ad065efcee623cc4d0459cafacb31e2eb728297f5564d4eb86c5b4a04,Circle,"[-16.0000001,-1e-07,9.661324673,-13.9999999,1e-07,10.6000001]",True,79f6f897eb48c4e76112276c32c2375dbcd61f2cdb3fcf3f6082fdc7a9569aa3,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
