conductor_id,manufacturer,order_code,application_quantity,procurement_quantity,cut_length,state,warning
R259-COND-01,Belden,3051 WB005,1,SELECTION REQUIRED,SELECTION REQUIRED,EXACT CANDIDATE / NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R259-COND-02,Belden,3051 WO005,1,SELECTION REQUIRED,SELECTION REQUIRED,EXACT CANDIDATE / NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R259-COND-03,Belden,3051 WV005,1,SELECTION REQUIRED,SELECTION REQUIRED,EXACT CANDIDATE / NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R259-COND-04,Belden,3051 WY005,1,SELECTION REQUIRED,SELECTION REQUIRED,EXACT CANDIDATE / NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R259-COND-05,Belden,3051 WU005,1,SELECTION REQUIRED,SELECTION REQUIRED,EXACT CANDIDATE / NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R259-COND-06,Belden,3051 RD005,1,SELECTION REQUIRED,SELECTION REQUIRED,EXACT CANDIDATE / NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R259-COND-07,Belden,3051 BK005,1,SELECTION REQUIRED,SELECTION REQUIRED,EXACT CANDIDATE / NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R259-COND-08,Belden,3051 BL005,1,SELECTION REQUIRED,SELECTION REQUIRED,EXACT CANDIDATE / NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R259-COND-09,Belden,3051 OR005,1,SELECTION REQUIRED,SELECTION REQUIRED,EXACT CANDIDATE / NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R259-COND-10,Belden,3051 VI005,1,SELECTION REQUIRED,SELECTION REQUIRED,EXACT CANDIDATE / NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R259-COND-11,Belden,3051 WH005,1,SELECTION REQUIRED,SELECTION REQUIRED,EXACT CANDIDATE / NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
