input_id,field,value,required_content,state,warning
R266-IN-01,owner_decision,,approve / decline / defer,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-IN-02,maximum_spend_usd,,numeric including contingency,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-IN-03,seller_legal_name,,exact seller,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-IN-04,quote_or_cart_id,,dated identifier,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-IN-05,quote_expiration,,date/time,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-IN-06,ship_to_reference,,controlled reference; avoid exposing full address in public repo,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-IN-07,receiving_owner,,adult name/reference,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-IN-08,quarantine_location,,controlled location,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-IN-09,purchaser,,adult name/reference,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-IN-10,payment_authority,,adult name/reference,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-IN-11,tax_status,,taxable / accepted exemption,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-IN-12,signed_decision_uri,,signed artifact reference,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
