wire_number,sheet,reference,terminal,pin_name,net,conductor_part_number,gauge,color,length_mm,termination_a,termination_b,routing_zone,release_state,configuration_identity,warning
W2001,02_estop_eligibility.kicad_sch,S0,R-1,CH1 RIGHT NC MARK 1,SR1_S11,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2002,02_estop_eligibility.kicad_sch,S0,L-1,CH2 LEFT NC MARK 1,SR1_S21,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2003,02_estop_eligibility.kicad_sch,S0,R-2,CH1 RIGHT NC MARK 2,SR1_S12,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2004,02_estop_eligibility.kicad_sch,S0,L-2,CH2 LEFT NC MARK 2,SR1_S22,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2005,02_estop_eligibility.kicad_sch,SR1,A1,24V SUPPLY,SR1_A1_WD_GATED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / DIAGNOSTIC-GATED SR1 SUPPLY - SEGREGATE FROM INPUT RETURNS,NOT RELEASED - SUPPLY-GATE ROUTING/POWER-CYCLE TEST REQUIRED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2006,02_estop_eligibility.kicad_sch,SR1,A2,0V SUPPLY,SAFETY_0V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2007,02_estop_eligibility.kicad_sch,SR1,S11,INPUT CH1 FEED,SR1_S11,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2008,02_estop_eligibility.kicad_sch,SR1,S12,INPUT CH1 RETURN / START FEED,SR1_S12,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2009,02_estop_eligibility.kicad_sch,SR1,S21,INPUT CH2 FEED,SR1_S21,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2010,02_estop_eligibility.kicad_sch,SR1,S22,INPUT CH2 RETURN,SR1_S22,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
