hold_id,subject,current_state,evidence_required,accepted,warning
CPC-HOLD-01,current watchdog supplier release,OPEN,"Accepted P1.0 supplier packet, DFM, machine XYRS, first article and qualified review",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CPC-HOLD-02,current DXL-star supplier release,OPEN,"Accepted P0.2 supplier packet, DFM, connector/current application, first article and qualified review",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CPC-HOLD-03,received enclosure/backplate,OPEN,"Exact identity, measured usable envelope, coating, fit and flatness",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CPC-HOLD-04,received device geometry,OPEN,"All device dimensions, terminal sweeps, bend radii, access and door-depth survey",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CPC-HOLD-05,production hole schedule,OPEN,Exact hole coordinates/diameters/tolerances tied to selected hardware and received measurements,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CPC-HOLD-06,rail/duct release,OPEN,"Final cuts, kerf, holes, fasteners, bonding, fill and physical proof",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CPC-HOLD-07,stationary conductors,OPEN,"Fault current, length, ambient, bundling, connector limits, exact wire/ferrule/termination and voltage-drop evidence",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CPC-HOLD-08,protection coordination,OPEN,"All fuse links, holders, inrush, clearing, conductor/connector protection and DC fault behavior selected",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CPC-HOLD-09,grounding/bonding,OPEN,"Exact PE, DC 0 V, frame and shield implementation plus physical continuity/impedance evidence",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CPC-HOLD-10,thermal and separation,OPEN,"Installed duty, duct fill, blocked-fan and worst-ambient enclosure survey",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CPC-HOLD-11,unpowered inspection,OPEN,"Point-to-point, polarity, isolation, torque, labels, sharp-edge, retention and cover-fit records",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CPC-HOLD-12,qualified release,OPEN,"Signed electrical, enclosure/mechanical and functional-safety review plus separate work authority",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
