cluster_id,union_exact_trimmed_face_tags_json,face_signatures_sha256_json,face_types_json,failed_facets,warning
R311-C001,"[77,121]","[""104a3234faf90162e87ac2ccdd6ef267a7825df25552e9106121f624529bcc4e"",""3fe32155b15b3601d6bb799f0f91816a2faf93434c9f4af60f67d9ab9cc683ac""]","[""Plane"",""Plane""]",15,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C002,"[77,122]","[""104a3234faf90162e87ac2ccdd6ef267a7825df25552e9106121f624529bcc4e"",""02b15854398bdf5165d7d1f8038fd26b635fd5282d1f52067a58fd2a7748b8ab""]","[""Plane"",""Plane""]",15,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C003,"[81,125]","[""9abeaee92766b8119a83e931ecf398a2c4ff7d0a9edab82b681128b370598086"",""b8d3b60962c5388d82836224b8d3d8783c80321e12a2ffdec405fda93a8f3e3f""]","[""Plane"",""Plane""]",15,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C004,"[81,117]","[""9abeaee92766b8119a83e931ecf398a2c4ff7d0a9edab82b681128b370598086"",""a500fc13262073c7235120a7775e2b093f1e222fd8fd97fce987c70eddac3107""]","[""Plane"",""Plane""]",14,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C005,"[75,120]","[""718038538e4c8c434eb21ae3b2248a286a15cfea2b3bee34b950ab4c498c7e33"",""cf14eb876335aff59ba8b6c585b3bb64c6f2581ef36a3fa10ca28301fc9d985a""]","[""Plane"",""Plane""]",12,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C006,"[79,123]","[""9330057d5a50c88111d8b946d24aacb11cbfb31db74b95c26db9557176ab27a6"",""ca0ab09a7a91c777148c1abe26faf216e609233465cabe397cf39f09bc80752e""]","[""Plane"",""Plane""]",12,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C007,"[79,124]","[""9330057d5a50c88111d8b946d24aacb11cbfb31db74b95c26db9557176ab27a6"",""e7d15423fc25a486e32bda5b6d592ca58a512e543f3730f031fae82b09b69063""]","[""Plane"",""Plane""]",12,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C008,"[75,118]","[""718038538e4c8c434eb21ae3b2248a286a15cfea2b3bee34b950ab4c498c7e33"",""dafa4021e7065876bc289b02bc883540cae61058b53a6f61e5dfad1b8ca8c4a0""]","[""Plane"",""Plane""]",11,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C009,"[74,117]","[""37c1e53ee043ee3ca72a46fe5eae32b8bde2b05535d8352001e2c25ee4102e4d"",""a500fc13262073c7235120a7775e2b093f1e222fd8fd97fce987c70eddac3107""]","[""Plane"",""Plane""]",9,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C010,"[74,118]","[""37c1e53ee043ee3ca72a46fe5eae32b8bde2b05535d8352001e2c25ee4102e4d"",""dafa4021e7065876bc289b02bc883540cae61058b53a6f61e5dfad1b8ca8c4a0""]","[""Plane"",""Plane""]",9,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
