domain,conductor,net,from,to,parity_result,physical_state,warning
FIELD,1,SR1_STATUS,XT1-03,JFIELD1.1,SOURCE-PARITY PASS,NOT BUILT / NOT CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FIELD,2,SRA1_STATUS,XT1-04,JFIELD1.2,SOURCE-PARITY PASS,NOT BUILT / NOT CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FIELD,3,K1_STATUS,XT1-05,JFIELD1.3,SOURCE-PARITY PASS,NOT BUILT / NOT CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FIELD,4,K2_STATUS,XT1-06,JFIELD1.4,SOURCE-PARITY PASS,NOT BUILT / NOT CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FIELD,5,SAFETY_0V,XT1-02,JFIELD1.5,SOURCE-PARITY PASS,NOT BUILT / NOT CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
COMPUTE,1,PI_3V3_CANDIDATE,JLOGIC1.1,JOBS1.1,SOURCE-PARITY PASS,NOT BUILT / NOT CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
COMPUTE,2,COMPUTE_0V,JLOGIC1.2,JOBS1.2,SOURCE-PARITY PASS,NOT BUILT / NOT CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
COMPUTE,3,OBS_SR1_PI,JLOGIC1.3,JOBS1.3,SOURCE-PARITY PASS,NOT BUILT / NOT CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
COMPUTE,4,OBS_SRA1_PI,JLOGIC1.4,JOBS1.4,SOURCE-PARITY PASS,NOT BUILT / NOT CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
COMPUTE,5,OBS_K1_PI,JLOGIC1.5,JOBS1.5,SOURCE-PARITY PASS,NOT BUILT / NOT CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
COMPUTE,6,OBS_K2_PI,JLOGIC1.6,JOBS1.6,SOURCE-PARITY PASS,NOT BUILT / NOT CONNECTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
