source_id,source,revision_or_date,sha256,verified_use,boundary,warning
P118D-SRC-001,electrical/kicad/project-button-v3-p1.15-carrier-candidate/bom.csv,repository source rechecked 2026-08-11,A5B616C73ADC5FF6F82F7A288537211D835B324897A0CE85BA2663AB2CE691EB,current P1.15 BOM,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-002,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/bom.csv,repository source rechecked 2026-08-11,39AA6D2D27B6F8C4D36E9284BA7350E4C7493E10A23E63AA601D66490FEE1ACF,candidate P1.18 BOM,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-003,electrical/kicad/project-button-v3-p1.15-carrier-candidate/connector-schedule.csv,repository source rechecked 2026-08-11,E5D4A0FEE571B89966F06B1A09E88D4C5D63B98BDE4303CDF6829362008FB674,current terminal/net schedule,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-004,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/connector-schedule.csv,repository source rechecked 2026-08-11,B0DA704ADFB07824F7D262A8F37FE15B9A783332B10A19A603CBAF801D4D047F,candidate terminal/net schedule,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-005,electrical/kicad/project-button-v3-p1.15-carrier-candidate/net-schedule.csv,repository source rechecked 2026-08-11,428754985CE15AC914BB67279F151BCD1145521AC23C8F0CFB0769EEBA6B83BD,current named-net membership,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-006,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/net-schedule.csv,repository source rechecked 2026-08-11,537BBC176119307E3AF822C6B6B79ED7B0957A16D4450E56165529C05B066E3C,candidate named-net membership,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-007,electrical/kicad/project-button-v3-p1.15-carrier-candidate/wire-number-table.csv,repository source rechecked 2026-08-11,C1714A0FFEE789089B564D2FC2C5ECC0349532E92446BF9788DF40467FFE77EE,current generated terminal rows,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-008,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/wire-number-table.csv,repository source rechecked 2026-08-11,D03375548EC137CCDE26684851EFDAA75B7DD3266EB0A73B6BC3AC697DC95220,candidate generated terminal rows,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-009,electrical/kicad/project-button-v3-p1.15-carrier-candidate/unresolved-selections.csv,repository source rechecked 2026-08-11,A1D3B067FE4916D1A54AAE4B9C501150B951AC48063AB3C484CCB59819FD863D,current unresolved set,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-010,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/unresolved-selections.csv,repository source rechecked 2026-08-11,75E211EA804C1EB701BECF3BA9D0D7038A65E470F62ACAF610C5E8730368AE5F,candidate unresolved set,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
