path,role,bytes,sha256,release_state,warning
cam/gerbers/project-button-v3-B_Cu.gbl,GERBER_OR_JOB,113382,f02f0f8dd88e286cc1c521a1ceba50dccca40ddda0eda9de7f6739205ac2ad47,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/project-button-v3-B_Mask.gbs,GERBER_OR_JOB,1881,08a98adbd59973246d7c5606b79d884f7c07e81fa048072ae3e9c6d7279e2845,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/project-button-v3-B_Paste.gbp,GERBER_OR_JOB,503,d145b9eca473fbea2553c930ab85895a82459ce025a3cddba06fe40c1c677117,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/project-button-v3-B_Silkscreen.gbo,GERBER_OR_JOB,504,d09651bced2a7af67fb0dd49920f27fa0d751ed77ade7f4cf6b52e1994a060d3,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/project-button-v3-Edge_Cuts.gm1,GERBER_OR_JOB,744,25b3baef21be89c9e843644cb62dcedb7dadac929508226fe56e278c8c164c72,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/project-button-v3-F_Cu.gtl,GERBER_OR_JOB,27248,4e99337c5e0d781529be1fdec47babfb02a8ea10661969d93a85db974e384017,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/project-button-v3-F_Mask.gts,GERBER_OR_JOB,10851,221b4c538f3b22e09646fcd8333f4a12750e0bc205734e8aad6b3f9859a37397,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/project-button-v3-F_Paste.gtp,GERBER_OR_JOB,7440,65d132420970d41a3f824b65000ad3f1c2c5d56905b7d41b248304d6e4e0ee41,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/project-button-v3-F_Silkscreen.gto,GERBER_OR_JOB,136259,3ccf0e6a8eff7cd07762a2e93a5b706bd651e2e3cc47d49127258444eae761da,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
cam/gerbers/project-button-v3-job.gbrjob,GERBER_OR_JOB,2951,fd78e04a07ed458d1e561f06281b4bea225010134332a86a563bea57adbd5e7e,INTERNAL REVIEW ONLY - NOT RELEASED TO SUPPLIER,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
