zone_id,source_volume_tag_diagnostic_only,imprinted_volume_tag_diagnostic_only,source_volume_mm3,imprinted_volume_mm3,relative_volume_error,maximum_bbox_delta_mm,maximum_center_of_mass_delta_mm,one_to_one_gate,warning
C07-MATRIX,8,8,81022.70067694575,81022.70067694575,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PE-FUSED,21,21,253.10657525325183,253.1065752532516,8.9833176090241e-16,0.0,7.105427357601002e-15,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PF,1,1,398.5015926535899,398.5015926535899,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E1-LIGAMENT,6,6,276.0674544342032,276.0674544342032,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E1-SINGULAR-RIM-BACK,13,13,15.665101153891095,15.665101153891095,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E1-SINGULAR-RIM-FRONT,20,20,23.931415159004594,23.931415159004594,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2-LIGAMENT,7,7,276.0674544342032,276.0674544342032,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2-SINGULAR-RIM-BACK,11,11,15.665101153891094,15.665101153891094,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2-SINGULAR-RIM-FRONT,19,19,23.931415159004537,23.931415159004537,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H1-LIGAMENT,2,2,316.782495224727,316.782495224727,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
