hold_id,scope,evidence_required,warning
PIOBS-HOLD-001,received Pi/header geometry,"Measure the received SC1112 board revision, header position, perpendicularity, seating and four-hole pattern; reference drawings alone are not production data","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOBS-HOLD-002,Samtec mate and land,Receive ESQ-120-33-G-D; inspect identity and fit; obtain fabricator DFM acceptance for the project-controlled 1.70 mm land with manufacturer 1.02 mm drill,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOBS-HOLD-003,stack and hardware,"Select exact standoffs/screws, reconcile connector and spacer stack, define torque/locking and verify no board strain or component contact","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOBS-HOLD-004,case/cooler clearance,"Verify received PI5-CASE-D, SC1148 Active Cooler, connector access, airflow, cutout need, retention and service clearance without modifying the case","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOBS-HOLD-005,harness cut and route,"Freeze observation-carrier panel position, exact six cut lengths, separation, bend radius, bundle support, labels and service loop","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOBS-HOLD-006,termination process,"Qualify direct-stripped 22 AWG preparation, 5 mm strip, 0.22-0.25 Nm torque, exposed-strand limit, pull test, retorque policy and inspection tooling","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOBS-HOLD-007,power sequencing/back-power,"Review 3.3 V source current, Pi power states, startup pulls, cable faults and every back-power path; no 5 V or ID-pin copper exists on this candidate","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOBS-HOLD-008,target GPIO binding,"Install and hash-verify the pinned target image; record kernel/libgpiod/gpiochip, line ownership, boot overlays and exact runtime readback","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOBS-HOLD-009,physical verification,"Execute continuity, isolation, polarity, voltage, startup, shutdown, dropout, cable-fault, EMC and HIL tests with traceable equipment","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOBS-HOLD-010,qualified review and authority,Qualified electrical and functional-safety reviewers accept the diagnostic-only boundary; a separate signed work authorization is still mandatory,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
