test_id,criterion,execution_state,result,evidence_uri,operator,reviewer,warning
R260-FIT-01,"Record received manufacturer, part, lot and revision for every hardware item",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R260-FIT-02,"Measure both board outlines, thicknesses and all mounting-hole diameters/centers",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R260-FIT-03,Measure runtime panel/flange/rear clearance and reconcile all four center candidates,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R260-FIT-04,Mock up runtime carrier without marking or drilling metal and sweep connectors/wires/tools/cover,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R260-FIT-05,Measure Pi/header/carrier/spacer free stack without fastener clamp,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R260-FIT-06,"Confirm no Pi or carrier bow, connector side load, incomplete insertion or cooler/case interference",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R260-FIT-07,Establish qualified torque limits and verify installed engagement without bottoming,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R260-FIT-08,"Execute retained-load, vibration, thermal and creep checks under an accepted protocol",NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R260-FIT-09,Release exact harness routes/cuts only after received placements are frozen,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R260-FIT-10,Obtain separate qualified disposition and written work-stage authorization,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
