record_id,reference,pin,function,net,basis,verification,warning
24PIN-001,PSU2,YL4-1,+24 V,SAFETY_24V_RAW,GlobTek WR9QI1660YL4NKITR6B Rev B,VERIFY RECEIVED PLUG VIEW AND POLARITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
24PIN-002,PSU2,YL4-2,N/C,NO NET / NO CONNECTION,GlobTek WR9QI1660YL4NKITR6B Rev B,DO NOT REPURPOSE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
24PIN-003,PSU2,YL4-3,0 V / SHIELD RETURN,SAFETY_0V,GlobTek WR9QI1660YL4NKITR6B Rev B,VERIFY RECEIVED PLUG VIEW AND CONTINUITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
24PIN-004,PSU2,YL4-4,N/C,NO NET / NO CONNECTION,GlobTek WR9QI1660YL4NKITR6B Rev B,DO NOT REPURPOSE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
24PIN-005,J24,1,+24 V,SAFETY_24V_RAW,GlobTek Rev B plus Kycon Rev C2,RECONCILE PLUG/JACK VIEW ON RECEIPT,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
24PIN-006,J24,2,N/C,NO NET / NO CONNECTION,GlobTek Rev B plus Kycon Rev C2,DO NOT REPURPOSE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
24PIN-007,J24,3,0 V / SHIELD RETURN,SAFETY_0V,GlobTek Rev B plus Kycon Rev C2,RECONCILE PLUG/JACK VIEW ON RECEIPT,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
24PIN-008,J24,4,N/C,NO NET / NO CONNECTION,GlobTek Rev B plus Kycon Rev C2,DO NOT REPURPOSE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
24PIN-009,F24,IN,SOURCE +24 V,SAFETY_24V_RAW,Project topology only,PROTECTION SELECTION REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
24PIN-010,F24,OUT,PROTECTED +24 V,SAFETY_24V,Project topology only,PROTECTION SELECTION REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
