inspection_id,part_id,module,characteristic,source_nominal,method,acceptance_limit,measured_value,result,evidence,warning
FC-I0001,T01_TORSO_RAIL_R,T01,X/Y/Z printed envelope,18.000 x 18.000 x 145.986 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0002,T01_TORSO_RAIL_R,T01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0003,T01_TORSO_RAIL_R,T01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0004,T01_TORSO_RAIL_R,T01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0005,T01_TORSO_RAIL_L,T01,X/Y/Z printed envelope,18.000 x 18.000 x 145.986 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0006,T01_TORSO_RAIL_L,T01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0007,T01_TORSO_RAIL_L,T01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0008,T01_TORSO_RAIL_L,T01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0009,T01_SHOULDER_CROSS_TUBE,T01,X/Y/Z printed envelope,174.000 x 28.000 x 24.000 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0010,T01_SHOULDER_CROSS_TUBE,T01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
