step_id,stage,module,action,objective_record,performed_by,result,evidence,warning
FC-T001,PREP,all modules,"Freeze source hashes; inspect printer, material lot, tools and unpowered workspace",No damaged or unidentified material; configuration recorded,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T002,PREP,all modules,Print one calibration coupon before robot parts and record dimensional offsets,Coupon results recorded; offsets remain development-only,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T003,PRINT,H01,Print all 2 Head fit articles at 1:1 scale,All files complete; material/print log attached,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T004,INSPECT,H01,Measure X/Y/Z envelopes and critical interfaces for Head,Measurements entered; deviations and rework recorded,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T005,ASSEMBLE,H01,Dry-assemble Head with inert dummy or unpowered candidate hardware,No force-fit damage; interfaces accessible; no electrical source present,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T006,ROUTE,H01,Pull string or sacrificial sleeving through Head harness corridors and service loops,"Route, clamp access, bend and service clearance observations recorded",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T007,PRINT,N01,Print all 1 Neck fit articles at 1:1 scale,All files complete; material/print log attached,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T008,INSPECT,N01,Measure X/Y/Z envelopes and critical interfaces for Neck,Measurements entered; deviations and rework recorded,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T009,ASSEMBLE,N01,Dry-assemble Neck with inert dummy or unpowered candidate hardware,No force-fit damage; interfaces accessible; no electrical source present,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T010,ROUTE,N01,Pull string or sacrificial sleeving through Neck harness corridors and service loops,"Route, clamp access, bend and service clearance observations recorded",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
