plate_id,module,part_id,stl_path,x_mm,y_mm,rotation_z_deg,placed_width_mm,placed_depth_mm,part_height_mm,physical_layout_executed,warning
FC-H01-P01,H01,H01_HEAD_FRONT_BEZEL,stl/H01/H01_HEAD_FRONT_BEZEL.stl,5.000,5.000,0,99.750,150.000,55.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-H01-P01,H01,H01_HEAD_REAR_COVER,stl/H01/H01_HEAD_REAR_COVER.stl,109.750,5.000,0,99.750,150.000,55.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-N01-P01,N01,N01_NECK_TUBE,stl/N01/N01_NECK_TUBE.stl,5.000,5.000,0,58.000,38.000,38.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T01-P01,T01,T01_TORSO_FRONT_COVER,stl/T01/T01_TORSO_FRONT_COVER.stl,5.000,5.000,0,145.000,190.000,55.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T01-P02,T01,T01_TORSO_REAR_COVER,stl/T01/T01_TORSO_REAR_COVER.stl,5.000,5.000,0,145.000,190.000,55.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T01-P01,T01,T01_SHOULDER_CROSS_TUBE,stl/T01/T01_SHOULDER_CROSS_TUBE.stl,155.000,5.000,90,28.000,174.000,24.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T01-P01,T01,T01_TORSO_RAIL_L,stl/T01/T01_TORSO_RAIL_L.stl,188.000,5.000,90,18.000,146.000,18.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T01-P02,T01,T01_TORSO_RAIL_R,stl/T01/T01_TORSO_RAIL_R.stl,155.000,5.000,90,18.000,146.000,18.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-P01-P01,P01,P01_PELVIS_FRONT_COVER,stl/P01/P01_PELVIS_FRONT_COVER.stl,5.000,5.000,0,65.000,155.000,52.500000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-P01-P01,P01,P01_PELVIS_REAR_COVER,stl/P01/P01_PELVIS_REAR_COVER.stl,75.000,5.000,0,65.000,155.000,52.500000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
