plate_id,module,printer_envelope_mm,part_count,parts,layout_svg,gcode_released,slicer_profile_selected,printed,warning
FC-H01-P01,H01,220 x 220 x 250,2,H01_HEAD_FRONT_BEZEL;H01_HEAD_REAR_COVER,plate-layouts/FC-H01-P01.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-N01-P01,N01,220 x 220 x 250,1,N01_NECK_TUBE,plate-layouts/FC-N01-P01.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T01-P01,T01,220 x 220 x 250,3,T01_TORSO_FRONT_COVER;T01_SHOULDER_CROSS_TUBE;T01_TORSO_RAIL_L,plate-layouts/FC-T01-P01.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T01-P02,T01,220 x 220 x 250,2,T01_TORSO_REAR_COVER;T01_TORSO_RAIL_R,plate-layouts/FC-T01-P02.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-P01-P01,P01,220 x 220 x 250,4,P01_PELVIS_FRONT_COVER;P01_PELVIS_REAR_COVER;P01_PELVIS_PLATE_FRONT;P01_RESTRAINT_BRIDGE,plate-layouts/FC-P01-P01.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-P01-P02,P01,220 x 220 x 250,2,P01_PELVIS_PLATE_REAR;P01_WAIST_BRIDGE,plate-layouts/FC-P01-P02.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A01-P01,A01,220 x 220 x 250,4,A01_UPPER_ARM_LINK_FRONT;A01_UPPER_ARM_LINK_REAR;A01_UPPER_ARM_FRONT_COVER;A01_UPPER_ARM_REAR_COVER,plate-layouts/FC-A01-P01.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A01-P02,A01,220 x 220 x 250,4,A01_FOREARM_LINK_FRONT;A01_FOREARM_LINK_REAR;A01_FOREARM_FRONT_COVER;A01_FOREARM_REAR_COVER,plate-layouts/FC-A01-P02.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,220 x 220 x 250,17,G01_GUIDE_ROD_FRONT;G01_GUIDE_ROD_REAR;G01_FINGER_NEGATIVE;G01_FINGER_POSITIVE;G01_PALM_BOTTOM_BRIDGE;G01_PALM_TOP_BRIDGE;G01_PALM_FRONT_PLATE;G01_PALM_REAR_PLATE;G01_WRIST_MOUNT_PLATE;G01_RACK_NEGATIVE;G01_RACK_POSITIVE;G01_PAD_NEGATIVE;G01_PAD_POSITIVE;G01_STOP_NEGATIVE;G01_STOP_POSITIVE;G01_PINION;G01_MANUAL_RELEASE_HUB,plate-layouts/FC-G01-P01.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A02-P01,A02,220 x 220 x 250,4,A02_UPPER_ARM_LINK_FRONT;A02_UPPER_ARM_LINK_REAR;A02_UPPER_ARM_FRONT_COVER;A02_UPPER_ARM_REAR_COVER,plate-layouts/FC-A02-P01.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A02-P02,A02,220 x 220 x 250,4,A02_FOREARM_LINK_FRONT;A02_FOREARM_LINK_REAR;A02_FOREARM_FRONT_COVER;A02_FOREARM_REAR_COVER,plate-layouts/FC-A02-P02.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,220 x 220 x 250,17,G02_GUIDE_ROD_FRONT;G02_GUIDE_ROD_REAR;G02_FINGER_NEGATIVE;G02_FINGER_POSITIVE;G02_PALM_BOTTOM_BRIDGE;G02_PALM_TOP_BRIDGE;G02_PALM_FRONT_PLATE;G02_PALM_REAR_PLATE;G02_WRIST_MOUNT_PLATE;G02_RACK_NEGATIVE;G02_RACK_POSITIVE;G02_PAD_NEGATIVE;G02_PAD_POSITIVE;G02_STOP_NEGATIVE;G02_STOP_POSITIVE;G02_PINION;G02_MANUAL_RELEASE_HUB,plate-layouts/FC-G02-P01.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
