assembly_step,parallel_group,module_id,body_segment,prerequisite_modules,candidate_operation,fabrication_part_count,fabrication_part_ids,axis_count,axis_ids,candidate_actuators,joint_fastener_count,joint_fastener_sizes,installed_equipment_count,installed_equipment_ids,harness_assembly_count,harness_assembly_ids,planning_mass_kg,fabrication_step,integration_reference_step,primary_datum,upstream_interface,downstream_interface,release_state,warning
1,A,F01,"Left ankle output, foot and sole interface",NONE,"Assemble left sole carrier, top bridge, contact layers and removable cover.",3,F01_SOLE_CARRIER; F01_TOP_BRIDGE; F01_TOP_COVER,0,NONE,NONE,0,NONE,5,EQ-F01-LOAD-11; EQ-F01-LOAD-12; EQ-F01-LOAD-21; EQ-F01-LOAD-22; EQ-F01-SOLE,1,HN-F01,0.239897000,../module-cad/F01/F01_fabrication_candidate.step,../module-cad/F01/F01_integration_reference.step,"Floor Z=0; L_ANKLE_ROLL @ (62.5, 0, 35) mm",L01 ankle-roll output,Replaceable sole/contact and force-sensing layers,"ASSEMBLY TRAVELER CANDIDATE - PHYSICAL HARDWARE, TORQUE, TOLERANCE AND VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
1,B,F02,"Right ankle output, foot and sole interface",NONE,"Assemble right sole carrier, top bridge, contact layers and removable cover.",3,F02_SOLE_CARRIER; F02_TOP_BRIDGE; F02_TOP_COVER,0,NONE,NONE,0,NONE,5,EQ-F02-LOAD-11; EQ-F02-LOAD-12; EQ-F02-LOAD-21; EQ-F02-LOAD-22; EQ-F02-SOLE,1,HN-F02,0.239897000,../module-cad/F02/F02_fabrication_candidate.step,../module-cad/F02/F02_integration_reference.step,"Floor Z=0; R_ANKLE_ROLL @ (-62.5, 0, 35) mm",L02 ankle-roll output,Replaceable sole/contact and force-sensing layers,"ASSEMBLY TRAVELER CANDIDATE - PHYSICAL HARDWARE, TORQUE, TOLERANCE AND VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
2,A,L01,"Left hip, thigh, knee, shin and ankle",F01,Build ankle-to-hip left leg stack around released axes and connect foot interface.,14,L01_SHIN_FRONT_COVER; L01_SHIN_REAR_COVER; L01_SHIN_SIDE_FRONT; L01_SHIN_SIDE_REAR; L01_SHIN_TIE_Z135; L01_SHIN_TIE_Z183; L01_SHIN_TIE_Z72; L01_THIGH_FRONT_COVER; L01_THIGH_REAR_COVER; L01_THIGH_SIDE_FRONT; L01_THIGH_SIDE_REAR; L01_THIGH_TIE_Z235; L01_THIGH_TIE_Z300; L01_THIGH_TIE_Z355,6,L_ANKLE_PITCH; L_ANKLE_ROLL; L_HIP_PITCH; L_HIP_ROLL; L_HIP_YAW; L_KNEE_PITCH,L_ANKLE_PITCH: ROBOTIS XM430-W350-R evaluation candidate; L_ANKLE_ROLL: ROBOTIS XM430-W350-R evaluation candidate; L_HIP_PITCH: ROBOTIS XH540-W270-R evaluation candidate; L_HIP_ROLL: ROBOTIS XH540-W270-R evaluation candidate; L_HIP_YAW: ROBOTIS XH540-W270-R evaluation candidate; L_KNEE_PITCH: ROBOTIS XH540-W270-R evaluation candidate,44,M5,4,EQ-FST-LEFT-LEG; EQ-HN01_L_LEG_DATA; EQ-HN01_L_LEG_POWER; EQ-PDU-LLEG,1,HN-L01,2.417707000,../module-cad/L01/L01_fabrication_candidate.step,../module-cad/L01/L01_integration_reference.step,"L_HIP_PITCH @ (62.5, 0, 380) mm",P01 left hip stack,F01 sole carrier at L_ANKLE_ROLL,"ASSEMBLY TRAVELER CANDIDATE - PHYSICAL HARDWARE, TORQUE, TOLERANCE AND VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
2,B,L02,"Right hip, thigh, knee, shin and ankle",F02,Build ankle-to-hip right leg stack around released axes and connect foot interface.,14,L02_SHIN_FRONT_COVER; L02_SHIN_REAR_COVER; L02_SHIN_SIDE_FRONT; L02_SHIN_SIDE_REAR; L02_SHIN_TIE_Z135; L02_SHIN_TIE_Z183; L02_SHIN_TIE_Z72; L02_THIGH_FRONT_COVER; L02_THIGH_REAR_COVER; L02_THIGH_SIDE_FRONT; L02_THIGH_SIDE_REAR; L02_THIGH_TIE_Z235; L02_THIGH_TIE_Z300; L02_THIGH_TIE_Z355,6,R_ANKLE_PITCH; R_ANKLE_ROLL; R_HIP_PITCH; R_HIP_ROLL; R_HIP_YAW; R_KNEE_PITCH,R_ANKLE_PITCH: ROBOTIS XM430-W350-R evaluation candidate; R_ANKLE_ROLL: ROBOTIS XM430-W350-R evaluation candidate; R_HIP_PITCH: ROBOTIS XH540-W270-R evaluation candidate; R_HIP_ROLL: ROBOTIS XH540-W270-R evaluation candidate; R_HIP_YAW: ROBOTIS XH540-W270-R evaluation candidate; R_KNEE_PITCH: ROBOTIS XH540-W270-R evaluation candidate,44,M5,4,EQ-FST-RIGHT-LEG; EQ-HN01_R_LEG_DATA; EQ-HN01_R_LEG_POWER; EQ-PDU-RLEG,1,HN-L02,2.417707000,../module-cad/L02/L02_fabrication_candidate.step,../module-cad/L02/L02_integration_reference.step,"R_HIP_PITCH @ (-62.5, 0, 380) mm",P01 right hip stack,F02 sole carrier at R_ANKLE_ROLL,"ASSEMBLY TRAVELER CANDIDATE - PHYSICAL HARDWARE, TORQUE, TOLERANCE AND VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
3,A,P01,"Pelvis, power bay and restraint bridge",L01; L02,Join both hip stacks to pelvis frame; install waist and uncredited restraint bridge.,6,P01_PELVIS_FRONT_COVER; P01_PELVIS_PLATE_FRONT; P01_PELVIS_PLATE_REAR; P01_PELVIS_REAR_COVER; P01_RESTRAINT_BRIDGE; P01_WAIST_BRIDGE,1,WAIST_YAW,WAIST_YAW: ROBOTIS XM540-W270-R candidate,4,M5,6,EQ-P01-AUX-CONVERTER; EQ-P01-FIVE-BRANCH-DISTRIBUTOR; EQ-P01-IMU; EQ-P01-RESTRAINT-ANCHOR; EQ-P01-TETHER-INLET; EQ-PDU-CORE,1,HN-P01,1.511925000,../module-cad/P01/P01_fabrication_candidate.step,../module-cad/P01/P01_integration_reference.step,PELVIS / WAIST datum @ Z=425 mm,L01/L02 hip-yaw modules and external fall-restraint system,T01 waist output,"ASSEMBLY TRAVELER CANDIDATE - PHYSICAL HARDWARE, TORQUE, TOLERANCE AND VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
4,A,T01,"Torso frame, compute and cooling",P01,"Install torso rails, shoulder crossmember, compute bay and waist output interface.",5,T01_SHOULDER_CROSS_TUBE; T01_TORSO_FRONT_COVER; T01_TORSO_RAIL_L; T01_TORSO_RAIL_R; T01_TORSO_REAR_COVER,0,NONE,NONE,0,NONE,14,EQ-FST-CENTRAL; EQ-HN01_TORSO_DATA_SPINE; EQ-HN01_TORSO_POWER_SPINE; EQ-PDU-ARMS; EQ-PDU-DISTAL; EQ-T01-BATTERY-CASSETTE; EQ-T01-BATTERY-PACK; EQ-T01-BATTERY-PROTECTION; EQ-T01-BUS-CARRIER-A; EQ-T01-BUS-CARRIER-B; EQ-T01-MOTION; EQ-T01-PI5; EQ-T01-PI5-COOLER; EQ-T01-WATCHDOG,4,HN-C01; HN-E01; HN-S01; HN-X01,2.437810000,../module-cad/T01/T01_fabrication_candidate.step,../module-cad/T01/T01_integration_reference.step,"WAIST_YAW @ (0, 0, 425) mm",P01 waist bearing/output interface,N01 neck and A01/A02 shoulder interfaces,"ASSEMBLY TRAVELER CANDIDATE - PHYSICAL HARDWARE, TORQUE, TOLERANCE AND VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
5,A,N01,Two-axis articulated neck,T01,Install neck pan/tilt stack and moving head harness loop.,1,N01_NECK_TUBE,2,HEAD_PAN; HEAD_TILT,HEAD_PAN: ROBOTIS XC330-class compact X-series candidate; HEAD_TILT: ROBOTIS XC330-class compact X-series candidate,8,M3,0,NONE,1,HN-NH01,0.121151000,../module-cad/N01/N01_fabrication_candidate.step,../module-cad/N01/N01_integration_reference.step,"HEAD_PAN @ (0, 0, 650) mm",T01 shoulder crossmember / pan module,H01 tilt cradle,"ASSEMBLY TRAVELER CANDIDATE - PHYSICAL HARDWARE, TORQUE, TOLERANCE AND VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
6,A,H01,"Head, screen face and sensor shell",N01,"Install screen-face head shell, cameras, microphones, speakers and rear service cover.",2,H01_HEAD_FRONT_BEZEL; H01_HEAD_REAR_COVER,0,NONE,NONE,0,NONE,10,EQ-H01-AUDIO-AMP; EQ-H01-CAMERA-L; EQ-H01-CAMERA-R; EQ-H01-DISPLAY; EQ-H01-FAN; EQ-H01-MIC-ARRAY; EQ-H01-SPEAKER-L; EQ-H01-SPEAKER-R; EQ-HN01_HEAD_BRANCH; EQ-HN01_HEAD_POWER_BRANCH,0,NONE,0.431016000,../module-cad/H01/H01_fabrication_candidate.step,../module-cad/H01/H01_integration_reference.step,"HEAD_TILT @ (0, 0, 690) mm",N01 tilt cradle at HEAD_TILT,"Face screen, stereo vision, microphones and speakers","ASSEMBLY TRAVELER CANDIDATE - PHYSICAL HARDWARE, TORQUE, TOLERANCE AND VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
7,A,A01,"Left shoulder, upper arm, elbow, forearm and wrist",T01,"Install left shoulder gimbal, upper arm, elbow, forearm and wrist.",8,A01_FOREARM_FRONT_COVER; A01_FOREARM_LINK_FRONT; A01_FOREARM_LINK_REAR; A01_FOREARM_REAR_COVER; A01_UPPER_ARM_FRONT_COVER; A01_UPPER_ARM_LINK_FRONT; A01_UPPER_ARM_LINK_REAR; A01_UPPER_ARM_REAR_COVER,4,L_ELBOW_PITCH; L_SHOULDER_PITCH; L_SHOULDER_ROLL; L_WRIST_ROTATION,L_ELBOW_PITCH: ROBOTIS XM430-W350-R candidate; L_SHOULDER_PITCH: ROBOTIS XM540-W270-R candidate; L_SHOULDER_ROLL: ROBOTIS XM430-W350-R candidate; L_WRIST_ROTATION: ROBOTIS XC330-T288-T candidate,24,M3; M4,3,EQ-FST-LEFT-ARM; EQ-HN01_L_ARM_DATA; EQ-HN01_L_ARM_POWER,1,HN-A01,0.877071000,../module-cad/A01/A01_fabrication_candidate.step,../module-cad/A01/A01_integration_reference.step,"L_SHOULDER pair @ (105, 0, 590) mm",T01 left shoulder crossmember,G01 palm at L_WRIST_ROTATION,"ASSEMBLY TRAVELER CANDIDATE - PHYSICAL HARDWARE, TORQUE, TOLERANCE AND VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
7,B,A02,"Right shoulder, upper arm, elbow, forearm and wrist",T01,"Install right shoulder gimbal, upper arm, elbow, forearm and wrist.",8,A02_FOREARM_FRONT_COVER; A02_FOREARM_LINK_FRONT; A02_FOREARM_LINK_REAR; A02_FOREARM_REAR_COVER; A02_UPPER_ARM_FRONT_COVER; A02_UPPER_ARM_LINK_FRONT; A02_UPPER_ARM_LINK_REAR; A02_UPPER_ARM_REAR_COVER,4,R_ELBOW_PITCH; R_SHOULDER_PITCH; R_SHOULDER_ROLL; R_WRIST_ROTATION,R_ELBOW_PITCH: ROBOTIS XM430-W350-R candidate; R_SHOULDER_PITCH: ROBOTIS XM540-W270-R candidate; R_SHOULDER_ROLL: ROBOTIS XM430-W350-R candidate; R_WRIST_ROTATION: ROBOTIS XC330-T288-T candidate,24,M3; M4,3,EQ-FST-RIGHT-ARM; EQ-HN01_R_ARM_DATA; EQ-HN01_R_ARM_POWER,1,HN-A02,0.877071000,../module-cad/A02/A02_fabrication_candidate.step,../module-cad/A02/A02_integration_reference.step,"R_SHOULDER pair @ (-105, 0, 590) mm",T01 right shoulder crossmember,G02 palm at R_WRIST_ROTATION,"ASSEMBLY TRAVELER CANDIDATE - PHYSICAL HARDWARE, TORQUE, TOLERANCE AND VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
