case_id,condition,kwd1_11_14,kwd2_11_14,heartbeat,fresh_arm_event,expected_sra1_output,disposition,safety_credit,warning
FT-001,Normal heartbeat and a fresh monitored ARM event,CLOSED,CLOSED,PRESENT,YES,ELIGIBLE,SRA1 may close only after its configured monitored start and EDM conditions; no motion command is created.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-002,Heartbeat lost; both KWD paths open,OPEN,OPEN,ABSENT,NO,OFF,Both SRA1 input returns open and both SRA1 outputs must drop.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-003,KWD1 11-14 welded; heartbeat lost,WELDED_CLOSED,OPEN,ABSENT,NO,OFF,"KWD2 opens channel 2, so one welded KWD contact cannot preserve SRA1 eligibility.",NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-004,KWD2 11-14 welded; heartbeat lost,OPEN,WELDED_CLOSED,ABSENT,NO,OFF,"KWD1 opens channel 1, so one welded KWD contact cannot preserve SRA1 eligibility.",NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-005,Both KWD 11-14 contacts welded or bypassed,WELDED_CLOSED,WELDED_CLOSED,ABSENT,NO,HAZARDOUS_UNRESOLVED,Both SRA1 input returns can remain complete. This common-cause case is not controlled by source topology.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-006,Shared controller or driver command holds both relays on,CLOSED,CLOSED,ABSENT,NO,HAZARDOUS_UNRESOLVED,Both ordinary contacts can remain closed despite heartbeat loss. No safety credit or fault exclusion is allowed.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-007,Only channel-1 field conductor bypassed,BYPASSED_CLOSED,OPEN,ABSENT,NO,OFF,The independent channel-2 return still opens.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-008,Only channel-2 field conductor bypassed,OPEN,BYPASSED_CLOSED,ABSENT,NO,OFF,The independent channel-1 return still opens.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-009,Both SRA1 watchdog-interlock paths bypassed,BYPASSED_CLOSED,BYPASSED_CLOSED,ABSENT,NO,HAZARDOUS_UNRESOLVED,"Protected routing, separation and credible-short disposition remain mandatory.",NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-010,One KWD path open while heartbeat is valid,OPEN,CLOSED,PRESENT,YES,OFF,SRA1 cannot become or remain eligible; nuisance loss is fail-closed.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-011,Heartbeat restored after a successful dropout; no new ARM,CLOSED,CLOSED,RESTORED,NO,OFF,The configured monitored ARM stage must not restart from contact restoration alone.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FT-012,Heartbeat restored; fresh monitored ARM; all other conditions healthy,CLOSED,CLOSED,RESTORED,YES,ELIGIBLE,"Eligibility may return, but RESET/ARM still creates no trajectory or torque request.",NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
