case_id,injection_or_analysis,minimum_acceptance_boundary,fixture,instrumentation,numerical_limit,execution_state,authorization,warning
FI-001,interrupt PI_HEARTBEAT toggling,DF-01 nominal dropout only,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-002,hold PI_HEARTBEAT static high,assume diagnostic may remain healthy or fail,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-003,supply plausible erroneous toggling,diagnostic failure assumed,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-004,force both WDCTRL1 drive outputs asserted,S0 action must still remove SR1 eligibility,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-005,force one UDRV output continuously sinking,same-channel S0 action must remain effective,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-006,simulate one KWD 11-14 welded closed with approved fixture,one S0 channel must still be recognized; exact acceptance qualified,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-007,simulate both KWD 11-14 contacts closed,both S0 channels and manual restart sequence remain effective,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-008,open each coil/conductor separately then restore,restoration alone never energizes K1/K2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-009,remove SAFETY_24V and SAFETY_0V separately,safe dropout; recovery alone no K1/K2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-010,sweep/ramp control voltage through brownout and recovery,no chatter or restart outside qualified limits,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-011,force WD1_NC_DIAG false high/low,"no RESET, ARM, coil or motion authority",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
