path_id,function_or_boundary,controlled_sheet_or_file,exact_path,current_disposition,safety_credit,warning
WDP-001,SF-01 channel 1,02_estop_eligibility.kicad_sch,SR1:S11 -> SR1_S11 -> S0:R-1/R-2 NC -> WD1_SAFETY_IN -> KWD1:11/14 NO -> SR1_S12 -> SR1:S12,credited candidate input path; KWD1 contribution unresolved,ZERO FOR DF-01; SF-01/SF-03 QUALIFIED ALLOCATION REQUIRED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDP-002,SF-01 channel 2,02_estop_eligibility.kicad_sch,SR1:S21 -> SR1_S21 -> S0:L-1/L-2 NC -> WD2_SAFETY_IN -> KWD2:11/14 NO -> SR1_S22 -> SR1:S22,credited candidate input path; KWD2 contribution unresolved,ZERO FOR DF-01; SF-01/SF-03 QUALIFIED ALLOCATION REQUIRED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDP-003,SR1 monitored reset,02_estop_eligibility.kicad_sch,SR1:S12 -> SR1_S12 -> S1:TBD-R1/TBD-R2 -> SR1_START_RETURN -> SR1:S34,received RESET terminal map and qualified start-mode validation open,ZERO FOR DF-01; SF-01/SF-03 QUALIFIED ALLOCATION REQUIRED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDP-004,SR1 output to SRA1 channel 1,02_estop_eligibility.kicad_sch;03_arm_watchdog_eligibility.kicad_sch,SR1:13/14 -> SRA1_S11/SRA1_S12 -> SRA1:S11/S12,direct safety-output candidate; application validation open,ZERO FOR DF-01; SF-01/SF-03 QUALIFIED ALLOCATION REQUIRED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDP-005,SR1 output to SRA1 channel 2,02_estop_eligibility.kicad_sch;03_arm_watchdog_eligibility.kicad_sch,SR1:23/24 -> SRA1_S21/SRA1_S22 -> SRA1:S21/S22,direct safety-output candidate; application validation open,ZERO FOR DF-01; SF-01/SF-03 QUALIFIED ALLOCATION REQUIRED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDP-006,SRA1 ARM and EDM,03_arm_watchdog_eligibility.kicad_sch;04_contactor_edm.kicad_sch,SRA1:S12 -> SRA1_S12 -> S2:TBD-A1/TBD-A2 -> ARM_AFTER_S2 -> K1:21/22 NC -> EDM_K1_TO_K2 -> K2:21/22 NC -> SRA1_START_RETURN -> SRA1:S34,received ARM and mirror-contact application evidence open,ZERO FOR DF-01; SF-01/SF-03 QUALIFIED ALLOCATION REQUIRED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDP-007,K1 coil command,03_arm_watchdog_eligibility.kicad_sch;04_contactor_edm.kicad_sch,SRA1:13/14 -> SRA1_K1_RAW -> FSR1:1/2 -> K1_A1 -> K1:A1; K1:A2 -> SAFETY_0V,"fuse link, conductor, contactor application and physical test open",ZERO FOR DF-01; SF-01/SF-03 QUALIFIED ALLOCATION REQUIRED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDP-008,K2 coil command,03_arm_watchdog_eligibility.kicad_sch;04_contactor_edm.kicad_sch,SRA1:23/24 -> SRA1_K2_RAW -> FSR2:1/2 -> K2_A1 -> K2:A1; K2:A2 -> SAFETY_0V,"fuse link, conductor, contactor application and physical test open",ZERO FOR DF-01; SF-01/SF-03 QUALIFIED ALLOCATION REQUIRED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDP-009,compute heartbeat,07_watchdog_control.kicad_sch;09_compute_and_control_terminals.kicad_sch;11_watchdog_pcb_connectors.kicad_sch,PI1:HDR40-11 -> PI_HEARTBEAT -> JWH1:1 -> RHB1 -> ISO1 LED; PI1:HDR40-06 -> COMPUTE_0V -> JWH1:2,ordinary diagnostic; cable/runtime/waveform evidence open,ZERO FOR DF-01; SF-01/SF-03 QUALIFIED ALLOCATION REQUIRED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDP-010,isolated heartbeat receiver,07_watchdog_control.kicad_sch,ISO1:4 -> WD_HEARTBEAT -> WDCTRL1:4 with RHP1 pull-up to WD_3V3,ordinary diagnostic; optocoupler failure is assumed,ZERO FOR DF-01; SF-01/SF-03 QUALIFIED ALLOCATION REQUIRED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDP-011,watchdog channel 1 drive,07_watchdog_control.kicad_sch;11_watchdog_pcb_connectors.kicad_sch,WDCTRL1:5 -> WD1_DRIVE -> UDRV1:1/16 -> WD1_COIL_N -> JWP1:3 -> KWD1:A2; KWD1:A1 -> SAFETY_24V,ordinary diagnostic; shared controller and rails,ZERO FOR DF-01; SF-01/SF-03 QUALIFIED ALLOCATION REQUIRED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDP-012,watchdog channel 2 drive,07_watchdog_control.kicad_sch;11_watchdog_pcb_connectors.kicad_sch,WDCTRL1:6 -> WD2_DRIVE -> UDRV2:1/16 -> WD2_COIL_N -> JWP1:4 -> KWD2:A2; KWD2:A1 -> SAFETY_24V,ordinary diagnostic; shared controller and rails,ZERO FOR DF-01; SF-01/SF-03 QUALIFIED ALLOCATION REQUIRED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDP-013,KWD1 feedback,03_arm_watchdog_eligibility.kicad_sch;08_watchdog_feedback_interface.kicad_sch;11_watchdog_pcb_connectors.kicad_sch,SAFETY_24V -> KWD1:21/22 NC -> WD1_NC_24V -> JWF1:1 -> UFB1 channel 1 -> WD1_NC_DIAG -> WDCTRL1:9,read-only intent; internal/panel cross-fault consequence unresolved,ZERO FOR DF-01; SF-01/SF-03 QUALIFIED ALLOCATION REQUIRED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
