question_id,route_id,method_id,category,question,required_evidence,state,provider_response,response_evidence_uri,reviewer_disposition
R257-MQ-05-G01,R257-RT-05,ALL,IDENTITY,"State legal provider name, performing facility and responsible technical contact.",Attributable written response,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-G02,R257-RT-05,ALL,SCOPE,State BID or NO BID for each M01-M05 method; do not bundle unbid methods.,Completed method bid schedule,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-G03,R257-RT-05,ALL,BOUNDARY,"Acknowledge unpowered/unconnected work, no encoder access and no fabrication/safety/energization approval.",Signed boundary acknowledgement,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-G04,R257-RT-05,ALL,CHAIN,"Describe receiving, quarantine, segregation, photos, custody, insurance and return controls.",Controlled chain-of-custody plan,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-G05,R257-RT-05,ALL,EQUIPMENT,"List proposed equipment by maker/model/serial, software/version and performing facility.",Equipment register,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-G06,R257-RT-05,ALL,CALIBRATION,Provide calibration certificates/due dates/traceability for every result-producing instrument and artifact.,Current certificates and traceability chain,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-G07,R257-RT-05,ALL,ACCREDITATION,Provide current ISO/IEC 17025 certificate/scope and map each quoted result inside or outside scope; ISO 9001 alone is not sufficient.,"Certificate, scope and result map",UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-G08,R257-RT-05,ALL,SUBCONTRACT,"Identify every subcontracted activity, facility and data transfer.",Subcontractor disclosure,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-G09,R257-RT-05,ALL,DATA,"Confirm native/raw files, CSV results, transforms, residuals, processing logs, scale-bearing photos and SHA-256-compatible delivery.",Deliverable list and sample/redacted format,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-G10,R257-RT-05,ALL,UNCERTAINTY,"Provide method-specific uncertainty budgets, coverage factors, distributions, sensitivities and reporting rule; do not substitute resolution for uncertainty.",Method uncertainty proposals,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-G11,R257-RT-05,ALL,COMMERCIAL,"Price methods separately with fixed/not-to-exceed assumptions, fixture development, shipping, insurance, tax, witness, lead time and expiration.",Itemized quote,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-G12,R257-RT-05,ALL,STOP WORK,"Describe discrepancy, damage, unexpected contact/force, nonconformance, stop-work and quarantine rules.",Controlled nonconformance workflow,UNSENT / NOT RECEIVED,,,NOT EXECUTED
