bid_id,route_id,method_id,requested_scope,bid_state,technical_disposition,warning
R257-BID-03-M01,R257-RT-03,JSM2-M01,Loose-part CMM/contact dimensions,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-03-M02,R257-RT-03,JSM2-M02,Assembled axial stack and external axis realization,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-03-M03,R257-RT-03,JSM2-M03,External unpowered angle/backlash,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-03-M04,R257-RT-03,JSM2-M04,Low-occlusion multi-orientation scan,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-03-M05,R257-RT-03,JSM2-M05,Loose and assembled mass,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-04-M01,R257-RT-04,JSM2-M01,Loose-part CMM/contact dimensions,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-04-M02,R257-RT-04,JSM2-M02,Assembled axial stack and external axis realization,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-04-M03,R257-RT-04,JSM2-M03,External unpowered angle/backlash,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-04-M04,R257-RT-04,JSM2-M04,Low-occlusion multi-orientation scan,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-04-M05,R257-RT-04,JSM2-M05,Loose and assembled mass,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-05-M01,R257-RT-05,JSM2-M01,Loose-part CMM/contact dimensions,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-05-M02,R257-RT-05,JSM2-M02,Assembled axial stack and external axis realization,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-05-M03,R257-RT-05,JSM2-M03,External unpowered angle/backlash,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-05-M04,R257-RT-05,JSM2-M04,Low-occlusion multi-orientation scan,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-BID-05-M05,R257-RT-05,JSM2-M05,Loose and assembled mass,NOT RECEIVED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
