source_id,authority,title,revision_or_date,path_or_url,sha256,controlled_fact,warning
R257-SRC-01,Project Button,Lot A source reconciliation P0.1,2026-08-11 controlled predecessor,docs/hr-v0-lot-a-source-reconciliation-p0.1.md,2e259dc478216a1ea9710d5aee5306242ded9552644046b2aebcc7272a31ed86,Historical article identity/conflict and eight unsent questions,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-SRC-02,Project Button,Evaluation acquisition/metrology P0.1,2026-08-08 controlled predecessor,docs/hr-v0-evaluation-acquisition-metrology-p0.1.md,cbac1f6767cd2052e9d61977f204b64f6c8192c8cc89f438717d2206d036ea0a,Historical provider screen and RFQ questions,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-SRC-03,Project Button,Joint-stack metrology P0.2,R254 / 2026-08-11,docs/hr-v0-joint-stack-metrology-p0.2.md,eb7d69d51925e22336f16c3453dcfc0d0716f4fcd7ad467beb0ac44bd9bdfe27,Current five-method execution boundary,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-SRC-04,ROBOTIS,Support,live official page rechecked 2026-08-12,https://www.robotis.us/Support,,cs@robotis.com; 949-377-0377; published typical response time,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-SRC-05,ROBOTIS,Contact Us,live official page rechecked 2026-08-12,https://www.robotis.us/contact-us/,,america@robotis.com; 949-377-0377,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-SRC-06,ROBOTIS,"Shipping, Returns, and Warranty",live official policy rechecked 2026-08-11,https://www.robotis.us/shipping-returns-warranty/,,Domestic insurance/request and return/RMA policy route; exact transaction terms still require response,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-SRC-07,East Coast Metrology,Measurement Services,live official page rechecked 2026-08-12,https://eastcoastmetrology.com/services/,,Topsfield service/contact and CMM/scan claims; no project method acceptance inferred,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-SRC-08,East Coast Metrology,CMM Measurement Services,live official page rechecked 2026-08-12,https://eastcoastmetrology.com/lp/cmm-measurement-services/,,CMM/noncontact capability claims; equipment/uncertainty/scope require bid response,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-SRC-09,3D ProScan,Metrology Services,live official page rechecked 2026-08-12,https://www.3dproscan.com/metrology-services.html,,Clinton contact and published CMM/vision/balance capabilities; ISO 9001 is not ISO/IEC 17025,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-SRC-10,Celero Partners,Company and scanning services,live official page rechecked 2026-08-12,https://celeropartners.com/,,Woburn contact and scanning claim; no CMM/traceability/uncertainty inferred,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-SRC-11,NIST,Technical Note 1297,1994 edition; official page rechecked 2026-08-11,https://www.nist.gov/pml/nist-technical-note-1297,,Uncertainty component/combination/reporting route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-SRC-12,Project Button,Joint measurement definition P0.1,R256 / 2026-08-11,release/hr-v0/joint-measurement-definition-p0.1/package-status.json,4ccb7caa4eebc86cf635798c828c77f9378ea133a71042d55c4592c22492a727,79 source features; 18 unexecuted characteristics; zero physical evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-SRC-13,Project Button,Lot A inquiry P0.2,R255 / 2026-08-11,release/hr-v0/lot-a-inquiry-p0.2/package-status.json,54ea76a0785d235e4e77090bfeafaff965cd0bb6607798203bae382640f2a2be,Superseded broad-scope inquiry baseline,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
