gate_id,decision,evidence_required,owner_role,state,warning
R257-GT-01,Authorize each external inquiry transmission,"Exact message/attachments hashes, recipient route, sender/reply identity, program-owner approval",PROGRAM OWNER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-02,Resolve XM540 -T/-R identity,Accepted R257-RQ-01/02 response,CONFIGURATION + ELECTRICAL,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-03,Accept no-substitution and contents,Accepted R257-RQ-03/06/07 response,CONFIGURATION + MECHANICAL,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-04,Accept current allocation and quote,Unexpired response/quote,PROCUREMENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-05,Set maximum purchase spend,Numerical signed limit,PROGRAM OWNER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-06,Freeze ship-to/receiver/quarantine,Named adult receiver and controlled location,PROGRAM OWNER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-07,Authorize receipt-only purchase,"Exact commit, lines, seller, quote, maximum spend, exclusions",PROGRAM OWNER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-08,Receive and reconcile six articles,"Labels, lots, contents, photos, discrepancies",RECEIVING + CONFIGURATION,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-09,Accept provider identity/scope,Complete attributable response and bid map,METROLOGY,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-10,Accept equipment/calibration/accreditation,Certificates and result scope map,QUALIFIED METROLOGY REVIEWER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-11,Accept method-specific supports/datums,M01-M05 technical proposals independently reviewed,QUALIFIED MECHANICAL/METROLOGY REVIEWER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-12,Accept method-specific uncertainty budgets,Numeric budgets and validation evidence,QUALIFIED METROLOGY REVIEWER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-13,Select provider and commercial scope,Technical acceptance plus program-owner commercial decision,PROGRAM OWNER + QUALIFIED REVIEWER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-14,Authorize shipment/work,"Configuration-specific scope, articles, methods, witnesses, stop conditions",PROGRAM OWNER + QUALIFIED REVIEWER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-15,Authorize temporary threaded assembly,Exact manufacturer/engineering hardware instruction and separate work authority,QUALIFIED MECHANICAL REVIEWER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-GT-16,Accept exact feature-match and per-characteristic bid,Complete 79-feature discrepancy method plus 18-row bid/technical response,QUALIFIED MECHANICAL/METROLOGY REVIEWER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
