bid_id,route_id,characteristic_id,method_id,received_article_scope,feature_ids,requested_output,bid_state,quoted_price,lead_time,technical_disposition
R257-CBID-03-001,R257-RT-03,R256-MZ-001,JSM2-M01/M02,J1 received H101 and assembled stack,H101-PL-MOVING-PLUS; H101-PL-MOVING-MINUS,fit both received outer planes; report signed X locations and absolute separation,NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-002,R257-RT-03,R256-MZ-002,JSM2-M02,J1 received assembled stack,H101-AXIS-PLUS; H101-AXIS-MINUS; XM540-AXIS-OUTPUT; XM540-AXIS-IDLER,"fit each accessible cylinder; report axes, residuals, coaxiality screen and accepted constructed joint axis",NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-003,R257-RT-03,R256-MZ-003,JSM2-M01/M02,"J1 received S102, XM540 and assembled stack",S102-PL-FIXED-PLUS; S102-PL-FIXED-MINUS,fit both received S102 outer side planes; report signed X locations and separation,NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-004,R257-RT-03,R256-MZ-004,JSM2-M02,J1 received assembled stack,H101-PL-MOVING-PLUS; H101-PL-MOVING-MINUS; S102-PL-FIXED-PLUS; S102-PL-FIXED-MINUS,report signed plus-side and minus-side assembled axial clearances using accepted plane fits,NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-005,R257-RT-03,R256-MZ-005,JSM2-M01/M02,J2 received H101 and assembled stack,H101-PL-MOVING-PLUS; H101-PL-MOVING-MINUS,repeat R256-MZ-001 on separately identified J2 articles,NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-006,R257-RT-03,R256-MZ-006,JSM2-M02,J2 received assembled stack,H101-AXIS-PLUS; H101-AXIS-MINUS; XM540-AXIS-OUTPUT; XM540-AXIS-IDLER,repeat R256-MZ-002 on separately identified J2 articles,NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-007,R257-RT-03,R256-MZ-007,JSM2-M01/M02,"J2 received S102, XM540 and assembled stack",S102-PL-FIXED-PLUS; S102-PL-FIXED-MINUS,repeat R256-MZ-003 on separately identified J2 articles,NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-008,R257-RT-03,R256-MZ-008,JSM2-M02,J2 received assembled stack,H101-PL-MOVING-PLUS; H101-PL-MOVING-MINUS; S102-PL-FIXED-PLUS; S102-PL-FIXED-MINUS,repeat R256-MZ-004 on separately identified J2 articles,NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-009,R257-RT-03,R256-MZ-009,JSM2-M04,J1 received complete temporary stack,all exterior source surfaces plus registered raw scan,"report full two-or-more-orientation point clouds, transforms, residuals and bounding envelope; configured cable/guard remain absent",NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-010,R257-RT-03,R256-MZ-010,JSM2-M04,J2 received complete temporary stack,all exterior source surfaces plus registered raw scan,repeat R256-MZ-009 on separately identified J2 articles,NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-011,R257-RT-03,R256-MZ-011,JSM2-M01,J1 received S102 and XM540,S102-FLANGE-PATTERN-*; S102-AXIS-SIDE-*; XM540-IDLER-PATTERN-*,"report every matched cylindrical axis, radius screen, pattern fit, residual and any unmatched source/received feature",NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-012,R257-RT-03,R256-MZ-012,JSM2-M01,J1 received H101,H101-SIDE-PATTERN-*; H101-FLANGE-PATTERN-*,"report every matched cylindrical axis, radius screen, pattern fit, residual and any unmatched source/received feature",NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-013,R257-RT-03,R256-MZ-013,JSM2-M01,J2 received S102 and XM540,S102-FLANGE-PATTERN-*; S102-AXIS-SIDE-*; XM540-IDLER-PATTERN-*,repeat R256-MZ-011 on separately identified J2 articles,NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-014,R257-RT-03,R256-MZ-014,JSM2-M01,J2 received H101,H101-SIDE-PATTERN-*; H101-FLANGE-PATTERN-*,repeat R256-MZ-012 on separately identified J2 articles,NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-015,R257-RT-03,R256-MZ-015,JSM2-M03,J1 temporary stack,S102-PL-ANGLE-REF; H101-PL-ANGLE-REF; accepted constructed joint axis,"report externally measured signed angle about accepted axis, both approach directions, applied hand force and backlash estimator",NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-016,R257-RT-03,R256-MZ-016,JSM2-M03,J2 temporary stack,S102-PL-ANGLE-REF; H101-PL-ANGLE-REF; accepted constructed joint axis,repeat R256-MZ-015 on separately identified J2 articles,NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-017,R257-RT-03,R256-MZ-017,JSM2-M05,J1 loose and frozen assembled identities,no CAD volume conversion permitted,"report direct balance readings, tare, repetitions, corrections and uncertainty",NOT RECEIVED,,,NOT EXECUTED
R257-CBID-03-018,R257-RT-03,R256-MZ-018,JSM2-M05,J2 loose and frozen assembled identities,no CAD volume conversion permitted,"report direct balance readings, tare, repetitions, corrections and uncertainty; effective/reflected inertia remains external",NOT RECEIVED,,,NOT EXECUTED
