sequence,source_path,sha256,bytes,role,warning
1,boston-fabrication-route-p0.1/route-status.json,12952843c9b573a367457965fb7582cd6bae815101ffbad8048ea0dff7d02e32,1361,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,boston-fabrication-route-p0.1/bpl-submission/HR30_G01_gripper_fit_plate_nonstructural.stl,3f34070885c28e9322eddbdbe4c286319664a76d6407c1957d0c2230f410bc63,2981484,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,boston-fabrication-route-p0.1/makerspace-submission/HR30_complete_98_part_nonstructural_fit_check.zip,13ad657b9781336640a4b2fda010bf0a5af0842cb222f0a6226e9318c6a70d62,5878442,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,electrical/axis-commissioning-station-p0.1/candidate-bom.csv,5d8ac3984b5d7a5e610d8be60ea9557b2a81ffd6d46a3903213b9a1383db55f6,1862,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,electrical/axis-commissioning-station-p0.1/bench-harness-p0.1/candidate-bom.csv,0caff7982881c4fcfab2eba6cace74af16f7f92ae8cd6b3a854b79120be46d61,1505,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,electrical/logic-power-kit-p0.1/equipment-register.csv,d52cac2f40e942b9677863c2df81d2bf7be5773bd22167b26d93dbca76a4af38,2457,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,electrical/swd-adapter-p0.1/adapter-bom.csv,02ad7c29c291181c60c98f6a34a287328487a94433e2d6658c3a797295f50180,1991,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,harness/actuator-cable-coupon-p0.1/coupon-bom.csv,45202db7a588852d86e5bee4b194604302ef38094edce16d2e3cb68438c6a591,5637,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,harness/actuator-cable-coupon-p0.1/tooling-candidate-register.csv,06ec3d407ebb25382fb974465872d0c865b994941d3e5cb38eda6a42d4563d41,2118,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10,first-energization-readiness-p0.1/readiness-status.json,8bd8de56ea6e8b05a2696a66a05bc657f4567859e69fca14f6203beb25b5eee2,1499,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
11,first-energization-readiness-p0.1/open-holds.csv,ddacfb5c89aebd84990b6c7e9dd80e602f88fcc40b684f31204b16c5d3c7f939,4712,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
12,electrical/walking-power-successor-p0.1/walking-power-status.json,e9c9306650c4e76ffbc817747db63c1d1292aea085f1af766078e0e9b605fa25,2448,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
