source_id,manufacturer,record,revision_or_date,official_url,controlled_fact,boundary,checked_date,warning
RPI120-SRC-001,Raspberry Pi,Raspberry Pi Active Cooler product page,"live product/configurator page; no formal revision shown",https://www.raspberrypi.com/products/active-cooler/,"Dedicated Pi 5 cooler; 5 V four-pin FAN header; PWM and tachometer; 1.09 CFM; 8000 RPM +/-15%; manufacturer-configured US reseller route identifies SC1148","Dynamic configured identity selects a held candidate only; received identity current load installation and thermal acceptance remain open",2026-08-08,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
RPI120-SRC-002,Raspberry Pi,Raspberry Pi Active Cooler product brief,"RP-008188-DS; published January 2026; portal updated 2026-01-09",https://pip.raspberrypi.com/documents/RP-008188-DS-active-cooler-product-brief.pdf,"Permanent clip-on anodised-aluminium heatsink/blower with push pins pre-applied pads and FAN-header connection","No input current project airflow enclosure clearance or thermal acceptance is published",2026-08-08,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
RPI120-SRC-003,Raspberry Pi,Raspberry Pi Active Cooler mechanical drawing,"current portal record updated 2025-10-06",https://datasheets.raspberrypi.com/cooling/raspberry-pi-active-cooler-mechanical-drawing.pdf,"Approximate reference envelope 63.50 x 42.50 x 13.70 mm","Manufacturer says reference-only not production data; no tray or enclosure holes may be inferred",2026-08-08,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
RPI120-SRC-004,Raspberry Pi,Raspberry Pi 5 mechanical drawing,"RP-008347-DS-1; portal updated 2025-10-06",https://pip.raspberrypi.com/documents/RP-008347-DS-1-raspberry-pi-5-mechanical-drawing.pdf,"Approximate reference board envelope 85 x 56 mm","Manufacturer says reference-only not production data and not all components are shown; received metrology controls production holes",2026-08-08,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
RPI120-SRC-005,Raspberry Pi,Raspberry Pi computer hardware documentation,"live documentation; accessed 2026-08-08",https://www.raspberrypi.com/documentation/computers/raspberry-pi.html,"Pi 5 FAN header is the official fan-control interface and Raspberry Pi OS supports its temperature-controlled behavior","Documentation does not validate Project Button airflow load startup or fault behavior",2026-08-08,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
RPI120-SRC-006,Raspberry Pi,Raspberry Pi SD Cards product page,"live product/configurator page; no formal revision shown",https://www.raspberrypi.com/products/sd-cards/,"32 64 and 128 GB A2 cards are offered unprogrammed or with Raspberry Pi OS","Configured 64 GB US page exposes no unambiguous manufacturer order code; order code remains SELECTION REQUIRED",2026-08-08,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
RPI120-SRC-007,Raspberry Pi,Raspberry Pi SD Cards product brief,"RP-008381-DS-1; published October 2024; portal updated 2025-10-06",https://datasheets.raspberrypi.com/sd-card/sd-card-product-brief.pdf,"A2 C10 U3 V30; 64 GB available; Pi 5 SDR104 catalog performance; -25 C to 85 C operating range","Does not publish order code endurance Project Button retention corruption or power-loss acceptance",2026-08-08,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
RPI120-SRC-008,Raspberry Pi,Raspberry Pi OS downloads,"live official downloads page; accessed 2026-08-08",https://www.raspberrypi.com/software/operating-systems/,"Raspberry Pi OS Lite 64-bit release 2026-06-18; Debian 13 Trixie; kernel 6.18; 501 MB download; 2840 MB storage; published SHA-256 acff736ca7945e3b305f07cda4abdb870910e12634991da69783611756e381b3","Published hash is a source identity; local download write readback configuration and boot evidence are NOT EXECUTED",2026-08-08,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
RPI120-SRC-009,Raspberry Pi,Raspberry Pi OS Lite 64-bit image,"release dated 2026-06-18",https://downloads.raspberrypi.com/raspios_lite_arm64/images/raspios_lite_arm64-2026-06-19/2026-06-18-raspios-trixie-arm64-lite.img.xz,"Exact official candidate image URL","No repository copy or locally verified hash exists; download and deployment are not authorized",2026-08-08,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
RPI120-SRC-010,Raspberry Pi,Making a more resilient file system,"RP-003610-WP; current official whitepaper accessed 2026-08-08",https://pip.raspberrypi.com/categories/685-whitepapers-app-notes-compliance-guides/documents/RP-003610-WP/Making-a-more-resilient-file-system.pdf,"Abrupt power loss SD-card writes and filesystem policy require deliberate treatment","Informative risk basis only; no Project Button image resilience is established",2026-08-08,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
