reference,footprint,x_mm,y_mm,rotation_deg,side,state,warning
CDEC1,Murata_GRM21_Reflow_Nominal,68.000,49.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CDEC2,Murata_GRM21_Reflow_Nominal,68.000,34.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFI1,TDK_CGA3_Reflow_Nominal,49.000,61.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFI2,TDK_CGA3_Reflow_Nominal,49.000,50.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFI3,TDK_CGA3_Reflow_Nominal,49.000,45.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFI4,TDK_CGA3_Reflow_Nominal,49.000,35.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFIELD1,Phoenix_MKDS_1_6_3P5_1751280,6.000,45.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JLOGIC1,Phoenix_MKDS_1_6_3P5_1751280,114.000,45.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MH1,MountingHole_3.2mm_M3,4.500,4.500,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MH2,MountingHole_3.2mm_M3,115.500,4.500,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MH3,MountingHole_3.2mm_M3,4.500,85.500,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MH4,MountingHole_3.2mm_M3,115.500,85.500,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPD1,Panasonic_ERJ6_Reflow_Nominal,86.000,60.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPD2,Panasonic_ERJ6_Reflow_Nominal,86.000,49.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPD3,Panasonic_ERJ6_Reflow_Nominal,86.000,45.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPD4,Panasonic_ERJ6_Reflow_Nominal,86.000,34.000,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSN1,Panasonic_ERJ6_Reflow_Nominal,42.000,57.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSN2,Panasonic_ERJ6_Reflow_Nominal,42.000,53.500,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSN3,Panasonic_ERJ6_Reflow_Nominal,42.000,42.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSN4,Panasonic_ERJ6_Reflow_Nominal,42.000,38.500,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSO1,Panasonic_ERJ6_Reflow_Nominal,76.000,57.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSO2,Panasonic_ERJ6_Reflow_Nominal,76.000,52.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSO3,Panasonic_ERJ6_Reflow_Nominal,76.000,42.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSO4,Panasonic_ERJ6_Reflow_Nominal,76.000,37.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTH1,Vishay_MMA0204_IPC_Reflow,22.000,57.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTH2,Vishay_MMA0204_IPC_Reflow,22.000,53.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTH3,Vishay_MMA0204_IPC_Reflow,22.000,42.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
