hold_id,scope,evidence_required,warning
OBS2-HOLD-001,SR1 Y32/H1,"Measure exact received H1 current over accepted voltage/temperature, identify terminals/internal circuit and prove useful indication at the 17.8 V low screen","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-HOLD-002,Y32 application,"Qualified review of aggregate current, short/open faults, leakage, startup and noninterference with SR1/SRA1 diagnostics","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-HOLD-003,K1/K2 contacts,"Received voltage/current, bounce, contamination, life and fault testing with the exact 2.70 kohm shunts","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-HOLD-004,EMC/protection,"Accept the Type-3 network, 10 nF DC-bias envelope, cable environment, surge/ESD/EFT plan and any additional protection","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-HOLD-005,PCB DFM,"Selected fabricator accepts four-layer stackup, material, copper, hole, mask, legend, annular ring, impedance-not-required statement and board drawing","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-HOLD-006,Assembly process,"Selected assembler accepts all land patterns, paste apertures, stencil, solder alloy/profile, MELF handling, cleaning, AOI and rework controls","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-HOLD-007,Grounding/insulation,"Accept field/compute zones, isolation corridor, floating SUB copper, creepage/clearance, enclosure, PE/parasitic and back-power behavior","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-HOLD-008,Raspberry Pi,"Select four conflict-free GPIOs and exact physical pins; verify thresholds, pulls, cable, boot, brownout and power-loss behavior","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-HOLD-009,Harness,"Release exact wire, ferrules, labels, strip length, torque, routing, retention, strain relief, separation and service access","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-HOLD-010,Mounting/enclosure,"Select hole hardware, standoffs, enclosure, panel datums, keepouts, access, airflow and inspection method","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-HOLD-011,First article,"Inspect board dimensions, holes, lands, isolation corridor, continuity, shorts, residue and component identity/orientation before any connection","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-HOLD-012,Fault injection,"Execute open, short, cross-short, stuck-high/low, return loss, logic brownout, back-power and source-loss cases on an authorized isolated fixture","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-HOLD-013,Thermal,Measure worst-case resistor/device/connector temperature in the selected enclosure and accepted duty/environment,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-HOLD-014,Safety boundary,"Qualified reviewer confirms observations remain diagnostic-only and cannot command, restore or preserve motion","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
