net,node_count,nodes,warning
COMPUTE_0V,12,01_boundaries.kicad_sch:JLOGIC1:2 | 01_boundaries.kicad_sch:BOUNDARY1:LOGIC | 02_sr1_sra1_inputs.kicad_sch:UOBS1:1 | 02_sr1_sra1_inputs.kicad_sch:UOBS1:8 | 03_k1_k2_inputs.kicad_sch:UOBS2:1 | 03_k1_k2_inputs.kicad_sch:UOBS2:8 | 04_compute_outputs.kicad_sch:RPD1:2 | 04_compute_outputs.kicad_sch:RPD2:2 | 04_compute_outputs.kicad_sch:RPD3:2 | 04_compute_outputs.kicad_sch:RPD4:2 | 04_compute_outputs.kicad_sch:CDEC1:2 | 04_compute_outputs.kicad_sch:CDEC2:2,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_JFIELD1_6,1,01_boundaries.kicad_sch:JFIELD1:6,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS1_13,1,02_sr1_sra1_inputs.kicad_sch:UOBS1:13,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS1_6,1,02_sr1_sra1_inputs.kicad_sch:UOBS1:6,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS1_7,1,02_sr1_sra1_inputs.kicad_sch:UOBS1:7,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS1_9,1,02_sr1_sra1_inputs.kicad_sch:UOBS1:9,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS2_13,1,03_k1_k2_inputs.kicad_sch:UOBS2:13,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS2_6,1,03_k1_k2_inputs.kicad_sch:UOBS2:6,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS2_7,1,03_k1_k2_inputs.kicad_sch:UOBS2:7,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UOBS2_9,1,03_k1_k2_inputs.kicad_sch:UOBS2:9,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K1_IN,2,03_k1_k2_inputs.kicad_sch:RSN3:2 | 03_k1_k2_inputs.kicad_sch:UOBS2:15,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K1_SENSE,4,03_k1_k2_inputs.kicad_sch:RTH3:2 | 03_k1_k2_inputs.kicad_sch:RSN3:1 | 03_k1_k2_inputs.kicad_sch:CFI3:1 | 03_k1_k2_inputs.kicad_sch:UOBS2:16,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K1_STATUS,4,01_boundaries.kicad_sch:JFIELD1:3 | 03_k1_k2_inputs.kicad_sch:RTH3:1 | 03_k1_k2_inputs.kicad_sch:RW3:1 | 03_k1_k2_inputs.kicad_sch:K1AUX:14,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K2_IN,2,03_k1_k2_inputs.kicad_sch:UOBS2:11 | 03_k1_k2_inputs.kicad_sch:RSN4:2,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K2_SENSE,4,03_k1_k2_inputs.kicad_sch:UOBS2:10 | 03_k1_k2_inputs.kicad_sch:RTH4:2 | 03_k1_k2_inputs.kicad_sch:RSN4:1 | 03_k1_k2_inputs.kicad_sch:CFI4:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
