sample_index,daq_time_s,trigger_state,stop_command_state,estop_state,reset_input_state,start_command_state,motion_enable_command_state,torque_enable_feedback,source_voltage_V,source_current_A,k1_coil_state,k2_coil_state,k1_mirror_state,k2_mirror_state,external_angle_deg,external_velocity_deg_s,reaction_force_N,bumper_displacement_mm,dropped_scan_count,sensor_saturation_flags,run_id,configuration_commit,article_revision,calibration_bundle_hash,timing_budget_revision
0,0.000000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.000000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
1,0.001000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.030000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
2,0.002000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.060000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
3,0.003000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.090000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
4,0.004000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.120000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
5,0.005000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.150000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
6,0.006000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.180000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
7,0.007000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.210000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
8,0.008000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.240000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
9,0.009000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.270000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
10,0.010000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.300000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
11,0.011000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.330000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
12,0.012000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.360000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
13,0.013000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.390000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
14,0.014000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.420000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
15,0.015000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.450000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
16,0.016000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.480000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
17,0.017000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.510000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
18,0.018000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.540000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
