record_id,prior_identifier,current_or_required_successor,disposition,use_authorized,warning
SUP-01,Project Button Electrical V3-P1.14,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,historical/compatibility source; does not contain the inserted carrier interfaces,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-02,DXL-STAR-P0.1,DXL-STAR-P0.2-CARRIER-CANDIDATE,historical topology source; terminal names differ at the limited outputs,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-03,HR-V0-DXL-STAR-MFG-P0.1,SELECTION REQUIRED,historical P0.1 CAM; prohibited for fabrication of P0.2,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-04,PCB-P0.9 / HR-V0-E2-P115-PARITY-P0.1 compatibility route,PCB-P1.0 / HR-V0-WD-P115-ID-P0.1,"historical parity evidence retained; current board directly names P1.15; supplier-normalized data, process acceptance and physical evidence remain open",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-05,HR-V0-E2-HW-P0.3,HR-V0-E2-HW-P0.4,P1.14-bound slice superseded by a P1.15-bound fail-closed slice; no run authorization,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-06,HR-V0-WD-CAM-P0.1,HR-V0-WD-CAM-P0.2,historical P1.14-bound internal CAM review; P0.2 is the current direct P1.15-bound review and remains prohibited for supplier use,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-07,V3-P1.16-OBSERVATION-CANDIDATE,V3-P1.17-OBSERVATION-P0.5-CANDIDATE,historical R206 view bound the superseded P0.2 observation carrier; prohibited for current fabrication or wiring review,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-08,HR-V0-RUNTIME-OBS-CARRIER-P0.2 / P0.3 / P0.4,HR-V0-RUNTIME-OBS-CARRIER-P0.5,historical observation carriers retained for audit only; P0.5 is the current open-drain candidate,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-09,HR-V0-CONFIG-REC-P0.1,HR-V0-CONFIG-REC-P0.2,historical carrier-only reconciliation superseded by the observation-bound configuration map,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-10,HR-V0-ARM-ARCH-P0.7 / HR-V0-MECH-BOM-BIND-P0.1,HR-V0-ARM-ARCH-P0.8-DWG-INTEGRATED-CANDIDATE / HR-V0-MECH-BOM-BIND-P0.2,P0.7 remains historical analytical transform/collision basis only; P0.1 manufacturing identity is prohibited for current fabrication review,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-11,HR-V0-CONFIG-REC-P0.3,HR-V0-CONFIG-REC-P0.4,P0.3 remains the R214 mechanical-integration snapshot; P0.4 adds the R220-R223 panel/BOM chain without promoting P1.18 or any work gate,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-12,HR-V0-CONFIG-REC-P0.4,HR-V0-CONFIG-REC-P0.5,P0.4 remains the immutable R223 snapshot; P0.5 adds R241/BOM-096 without promoting P1.21 or any physical/work gate,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-13,HR-V0-CONFIG-REC-P0.5,HR-V0-CONFIG-REC-P0.6,P0.5 remains immutable R241 snapshot; P0.6 adds R242/BOM-097 without promoting P1.21 or any work gate,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-14,HR-V0-CONFIG-REC-P0.6,HR-V0-CONFIG-REC-P0.7,P0.6 remains immutable R242 snapshot; P0.7 adds R243/BOM-098 without promoting P1.21 or any work gate,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-15,HR-V0-CONFIG-REC-P0.7,HR-V0-CONFIG-REC-P0.8,"P0.7 remains immutable R243 snapshot; P0.8 adds R244 without changing the 98-group BOM, promoting P1.21 or closing work gates",NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-16,HR-V0-CONFIG-REC-P0.8,HR-V0-CONFIG-REC-P0.9,P0.8 remains immutable R244 snapshot; P0.9 corrects the active five-part integrated identity and adds fail-closed firmware source hashes,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-17,HR-V0-CONFIG-REC-P0.9,HR-V0-CONFIG-REC-P0.10,SUPERSEDED BY R246 CONFIGURATION RECORD ONLY,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-18,HR-V0-CONFIG-REC-P0.10,HR-V0-CONFIG-REC-P0.11,SUPERSEDED BY R247 CONFIGURATION RECORD ONLY,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-19,HR-V0-CONFIG-REC-P0.11,HR-V0-CONFIG-REC-P0.12,SUPERSEDED BY R248 CONFIGURATION RECORD ONLY,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-20,HR-V0-CONFIG-REC-P0.12,HR-V0-CONFIG-REC-P0.13,SUPERSEDED BY R249 CONFIGURATION RECORD ONLY,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SUP-21,HR-V0-CONFIG-REC-P0.13,HR-V0-CONFIG-REC-P0.14,SUPERSEDED BY R250 CONFIGURATION RECORD ONLY,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
