parent_id,parent_level,parent_status,verification_id,child_count,first_child_id,last_child_id,decomposition_state,approval_effect,warning
CFG-001,configuration,draft,AUDIT-CFG-001,6,CFG-001-A01,CFG-001-A06,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002,configuration,draft,TEST-CFG-002,5,CFG-002-A01,CFG-002-A05,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003,configuration,draft,AUDIT-BOM-001,12,CFG-003-A01,CFG-003-A12,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001,commissioning,draft,INSPECT-E2-001,10,COMM-001-A01,COMM-001-A10,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002,commissioning,draft,INSPECT-E2-002,7,COMM-002-A01,COMM-002-A07,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003,commissioning,draft,TEST-E2-001,7,COMM-003-A01,COMM-003-A07,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004,commissioning,draft,TEST-E2-002,8,COMM-004-A01,COMM-004-A08,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005,commissioning,draft,AUDIT-E2-001,10,COMM-005-A01,COMM-005-A10,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-003,control,draft,TEST-FAULT-001,5,CTRL-003-A01,CTRL-003-A05,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-004,control,draft,TEST-LOG-001,4,CTRL-004-A01,CTRL-004-A04,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-005,control,draft,TEST-CTRL-005,9,CTRL-005-A01,CTRL-005-A09,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-006,control,draft,TEST-CTRL-006,15,CTRL-006-A01,CTRL-006-A15,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-007,control,draft,TEST-SAFE-002,6,CTRL-007-A01,CTRL-007-A06,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008,control,draft,TEST-CTRL-007,19,CTRL-008-A01,CTRL-008-A19,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-001,electrical,draft,INSPECT-ELEC-001,3,ELEC-001-A01,ELEC-001-A03,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-003,electrical,draft,INSPECT-ELEC-002,3,ELEC-003-A01,ELEC-003-A03,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-004,electrical,draft,TEST-ELEC-001,2,ELEC-004-A01,ELEC-004-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001,verification,draft,AUDIT-GOV-001,12,GOV-001-A01,GOV-001-A12,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GRIP-002,gripper,draft,INSPECT-GRIP-001,5,GRIP-002-A01,GRIP-002-A05,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
LEG-001,legs,draft,AUDIT-LEG-001,4,LEG-001-A01,LEG-001-A04,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
