source_id,provider,title,url,document_revision_or_date,access_date,claim_boundary,warning
SRC-001,Kontrast4D,Official capability specification,https://kontrast4d.com/,"K4D-CAP-001 Rev 1; updated 2026-05",2026-08-09,"Published process envelope tolerance and CMM capability only; no Project Button acceptance",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
SRC-002,Protolabs,Aluminum CNC machining,https://www.protolabs.com/services/cnc-machining/aluminum/,"live official page; formal revision unstated",2026-08-09,"Lists 6061-T651; no Project Button stock or drawing acceptance",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
SRC-003,Protolabs,CNC milling capability,https://www.protolabs.com/services/cnc-machining/cnc-milling/,"live official page; formal revision unstated",2026-08-09,"Published process size FAI and certification options only",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
SRC-004,Xometry,CNC machining capability,https://www.xometry.com/capabilities/cnc-machining-service/,"live official page; formal revision unstated",2026-08-09,"Published network capability only; exact supplier and temper remain unknown",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
SRC-005,Fictiv,Aluminum CNC capability,https://www.fictiv.com/materials/cnc-aluminum,"live official page; formal revision unstated",2026-08-09,"Published T6 material does not close the controlled T651 requirement",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
SRC-006,Accurate Tool and Machine,Official services page,https://www.accuratetoolandmachine.com/services.html,"live official page; formal revision unstated",2026-08-09,"General capability only",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
SRC-007,T&D Specialties,Official capability page,https://tdspecialties.net/,"live official page; formal revision unstated",2026-08-09,"General capability only",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
SRC-008,Tucker Engineering,Official machining page,https://www.tuckereng.com/cnc-precision-machined-parts/,"live official page; formal revision unstated",2026-08-09,"General capability only",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
SRC-009,United Precision Manufacturing,Official Worcester/Boston service page,https://unitedfabcnc.com/locations/worcester-ma,"live official page; formal revision unstated",2026-08-09,"General capability only; published location wording requires confirmation",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
SRC-010,SendCutSend,6061 material page,https://sendcutsend.com/materials/6061-aluminum/,"live official page; formal revision unstated",2026-08-09,"T6 laser-cut stock is not a finished-part route for the controlled T651 CNC set",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
