input_id,topic,current_statement,evidence_needed,owner_role,state,release_effect,warning
FAB-IN-001,payload,"Low-load demonstrator intent only; no number accepted","Maximum object mass plus grip/arm location and uncertainty",Systems engineer,SELECTION REQUIRED,BLOCKS STRUCTURAL RELEASE,PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
FAB-IN-002,duty cycle,"Move and do things; no cycle definition accepted","Moves per hour dwell duration rest interval and lifetime cycles",Controls plus mechanical,SELECTION REQUIRED,BLOCKS DUTY AND FATIGUE RELEASE,PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
FAB-IN-003,speed and acceleration,"No accepted joint profile","Maximum velocity acceleration jerk and emergency-deceleration envelopes",Controls plus safety,SELECTION REQUIRED,BLOCKS DYNAMIC LOAD CASES,PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
FAB-IN-004,restraint and fall,"Bench-mounted intent; physical restraint not accepted","Base restraint geometry loads tip case and dropped-arm case",Mechanical plus safety,SELECTION REQUIRED,BLOCKS RESTRAINT RELEASE,PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
FAB-IN-005,safety factors,"No accepted factors","Qualified mechanical allocation for yield slip pullout prying fatigue and fasteners",Qualified mechanical reviewer,SELECTION REQUIRED,BLOCKS DRAWING RELEASE,PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
FAB-IN-006,C05 T-slot joint,"Catalog compatibility only; no capacity evidence","Manufacturer application disposition or reviewed calculation plus physical slip/pullout/prying proof",Qualified mechanical reviewer,OPEN,BLOCKS C05 RELEASE,PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
FAB-IN-007,C06/C07 stop loads,"Geometry controlled; load and bumper selection open","Accepted bumper part impact energy contact force tolerance stack and retained proof",Mechanical plus safety,OPEN,BLOCKS C06/C07 RELEASE,PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
FAB-IN-008,material traceability,"6061-T651 required","Supplier written acceptance exact stock condition and material test report",Supplier plus receiving,OPEN,BLOCKS FIRST ARTICLE ACCEPTANCE,PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
FAB-IN-009,inspection data,"FAI controls defined; no provider acceptance","Written acceptance of every control CMM report and C07 surface-map format",Supplier plus qualified reviewer,OPEN,BLOCKS FIRST ARTICLE ACCEPTANCE,PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
FAB-IN-010,work authorization,"No contact upload quote or fabrication authority","Separate signed capability-inquiry then first-article authorization after review",Configuration authority,NOT AUTHORIZED,BLOCKS ALL EXTERNAL ACTION,PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
