route_id,provider,scope,source_revision_date,access_date,process_material_thickness_evidence,files,tolerance_evidence,inspection_evidence,part_screen,explicit_unknowns,disposition,warning
BOS-K4D,Kontrast4D,"Salem MA; nationwide shipping","K4D-CAP-001 Rev 1; updated 2026-05",2026-08-09,"3/4/5-axis CNC; aluminum 6061; published envelopes exceed all five parts; exact temper and 9.525 mm stock unstated","STEP; IGES; SolidWorks; PDF","default +/-0.003 in; typical +/-0.001 in; called-out CMM-verified features +/-0.0005 in","Mitutoyo Mistar 555 CMM; FAI report on request","C01/C04/C05/C06/C07 SCREENED CANDIDATE ONLY","6061-T651 availability; MTR; actual stock; countersink and edge-operation acceptance; complete drawing acceptance; surface-map format","STRONGEST LOCAL EVIDENCE; PROGRAM CONFIRMATION REQUIRED",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
ONLINE-PROTOLABS,Protolabs,"US online/factory and network","current official pages; revision/date unstated",2026-08-09,"3-axis/5-axis CNC; explicitly lists 6061-T651; aluminum capacity exceeds all five parts","STEP plus 2D drawing","standard +/-0.13 mm; high-requirement hole/bore routes published down to +/-0.01 mm","FAI; dimensional reports; material certifications; CMM options","C01/C04/C05 CANDIDATE; C06/C07 UNVERIFIED","9.525 mm stock; +/-0.025 mm rail-datum acceptance; <=0.03 mm coplanarity; retained surface map; exact factory/network allocation","ONLINE ALTERNATE; MANUAL HIGH-REQUIREMENT REVIEW REQUIRED",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
ONLINE-XOMETRY,Xometry,"US online manufacturing network","current official page; revision/date unstated",2026-08-09,"3/4/5-axis CNC; aluminum 6061; temper and stock thickness unstated; size capacity exceeds all five parts","STEP and technical drawing","general +/-0.127 mm; precision and sub-0.001 in work described per drawing","standard inspection; CMM; FAIR; material certification; CoC options","C01/C04/C05 CANDIDATE; C06/C07 UNVERIFIED","6061-T651; stock thickness; +/-0.025 mm datum acceptance; coplanarity/surface map; actual supplier; complete operation acceptance","ONLINE ALTERNATE; MANUAL REVIEW REQUIRED",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
ONLINE-FICTIV,Fictiv,"US online manufacturing network","current official pages; revision/date unstated",2026-08-09,"CNC mill; published 6061-T6 only; capacity exceeds all five parts","STEP and PDF drawing","with drawing as low as +/-0.005 mm; standard +/-0.127 mm","quality and inspection offerings published; exact required package not established","DIMENSIONAL CANDIDATE; MATERIAL HOLD","6061-T651 not published; 9.525 mm stock; exact CMM/FAI package; operation acceptance","HOLD - CONTROLLED TEMPER MISMATCH",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
BOS-ACCURATE,Accurate Tool and Machine,Lakeville MA,"current official page; revision/date unstated",2026-08-09,"CNC milling; aluminum generally; multiple setups published","STEP; IGES; DXF/DWG; native CAD; drawings","default +/-0.005 in; tighter values unstated","inspection listed; material certification can be requested",INCOMPLETE CANDIDATE,"exact alloy/temper; stock; +/-0.05 and +/-0.025 mm controls; CMM/FAI; operation acceptance","HOLD - PUBLISHED EVIDENCE INCOMPLETE",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
BOS-TD,T&D Specialties,Oxford MA,"Quick Capabilities Sheet; visible revision/date unstated",2026-08-09,"CNC milling; aluminum generally; published envelope exceeds all five parts","STEP/STP; PDF","tight tolerance claimed but no numerical capability published","first-piece/in-process/final inspection and documentation claimed; exact equipment/report unknown",INCOMPLETE CANDIDATE,"6061-T651; stock; numerical tolerances; CMM/surface mapping; operation acceptance","HOLD - PUBLISHED EVIDENCE INCOMPLETE",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
BOS-TUCKER,Tucker Engineering,Peabody MA,"current official page; revision/date unstated",2026-08-09,"3/4-axis milling; deburring and finishing; aluminum/temper not stated","STEP; IGES; DXF; native CAD",not stated,"inspection from first piece through final; report/CMM details unstated",INCOMPLETE CANDIDATE,"material; thickness; every numerical tolerance; CMM/FAI; operation acceptance","HOLD - PUBLISHED EVIDENCE INCOMPLETE",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
NE-UPM,United Precision Manufacturing,"Boston service area; facility address Manchester NH","current official page; revision/date unstated",2026-08-09,"5-axis CNC; aluminum; example states 6061-T6 at +/-0.002 in","STEP; DXF; PDF; SolidWorks","general site says down to +/-0.005 in; example says +/-0.002 in","dimensional inspection; CMM reports; traceability claimed",INCOMPLETE CANDIDATE,"site-location wording; T651; tighter rail/coplanarity controls; exact reports and operations","HOLD - PROGRAM CAPABILITY UNVERIFIED",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
ONLINE-SCS,SendCutSend,US online,"current official material page; revision/date unstated",2026-08-09,"laser-cut 6061-T6 at 0.375 in/9.53 mm; tapping and countersinking listed","STEP; DXF; DWG and others","published laser tolerance +/-0.005 in","required retained CMM/surface-map evidence not published","NOT A FINISHED-PART ROUTE","T651 mismatch; required tolerances; controlled 11.30 mm countersink; rail datums; face step; CMM evidence","EXCLUDED FOR FINISHED PARTS; BLANK SOURCE ONLY UNDER SEPARATE CONTROL",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
ONLINE-EMS,eMachineShop,US online,"current official ordering page; revision/date unstated",2026-08-09,"CNC aluminum 6061; quick-turn route excludes user-defined threads",proprietary CAD workflow,"quick-turn 3D tolerance no tighter than +/-0.005 in","required CMM/FAI evidence not established","NOT SUITABLE FOR CONTROLLED SET","temper; stock; tight interfaces; inspection; several required operations","EXCLUDED FROM SHORTLIST",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION OR ENERGIZATION
