part_id,artifact_role,repository_path,bytes,sha256,review_state,upload_authorized,warning
MV0-C01,profile reference,cad/hr-v0/generated/arm-architecture-p0.7/parts/MV0-C01_adapter-finished-profile.dxf,782,358be09de4079aed6c6be260aaca2cda8a1feb4dc46ee13866a92bd1934b571d,INTERNAL QUALIFIED-REVIEW INPUT ONLY,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C01,3D candidate,cad/hr-v0/generated/arm-architecture-p0.7/parts/MV0-C01_rect32x16_to_20-2040_countersunk_adapter.step,42277,c7ba1ba97e4db567c86b27f8aaa1973d4987e92028f60ddd5d0d1c9b050cab7b,INTERNAL QUALIFIED-REVIEW INPUT ONLY,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C01,readable control drawing,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C01_adapter-candidate-drawing.svg,4678,e0aa49396d66b09f7794417ef8813f5f2bb07c4a616d4716ba77f2359cad0760,INTERNAL QUALIFIED-REVIEW INPUT ONLY,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C04,profile reference,cad/hr-v0/generated/arm-architecture-p0.7/parts/MV0-C04_gripper-adapter-finished-profile.dxf,814,87f84a6edcc7c4ea973e649d41a8761af72e73dc89acc254e4df6aca808151e0,INTERNAL QUALIFIED-REVIEW INPUT ONLY,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C04,3D candidate,cad/hr-v0/generated/arm-architecture-p0.7/parts/MV0-C04_H104_to_20-2040_countersunk_adapter.step,42281,1688e7db78ccb60c55e05c6db105550dbeae7afde28b2ebed124505260934cba,INTERNAL QUALIFIED-REVIEW INPUT ONLY,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C04,readable control drawing,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C04_gripper-adapter-candidate-drawing.svg,2312,812705de23aecf4cb05aa49add39d63d365102aa236017a6554452d202345f5a,INTERNAL QUALIFIED-REVIEW INPUT ONLY,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C05,profile reference,cad/hr-v0/generated/arm-architecture-p0.7/parts/MV0-C05_shoulder-support-finished-profile.dxf,689,7c12d75f25e0aaeedc3ab410845afa1dc6764db974a1c47f29780176a9700863,INTERNAL QUALIFIED-REVIEW INPUT ONLY,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C05,3D candidate,cad/hr-v0/generated/arm-architecture-p0.7/parts/MV0-C05_S102_to_40-4040_side_slot_support.step,37555,e9c96826ccac75f4c339d5d9171f73df1badd876546d631413ae8ec998d53d08,INTERNAL QUALIFIED-REVIEW INPUT ONLY,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C05,readable control drawing,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C05_shoulder-support-candidate-drawing.svg,2312,0d7922ba3332e1811b60352258dfad8824a9aa74181889f43a9d35c4c4ade56f,INTERNAL QUALIFIED-REVIEW INPUT ONLY,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C06,profile reference,cad/hr-v0/generated/arm-architecture-p0.7/parts/MV0-C06_J2-positive-moving-striker-profile.dxf,1630,5c40bbecbbadf21fee99b16aecd361d531d2107c6dd2e82f5e6ff3d61312179d,INTERNAL QUALIFIED-REVIEW INPUT ONLY,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
