source_table,source_row,control_id,feature,nominal_mm,tolerance_or_limit,inspection,status,evidence_state,release_state,warning,part_id,nominal
adapter-drawing-controls.csv,2,ADP-001,finished outside width X,48.00,+/-0.10,calibrated caliper or CMM; record actual,CANDIDATE CONTROL; FAI REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",,
adapter-drawing-controls.csv,3,ADP-002,finished outside height Z,40.00,+/-0.10,calibrated caliper or CMM; record actual,CANDIDATE CONTROL; FAI REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",,
adapter-drawing-controls.csv,4,ADP-003,finished thickness Y,9.525,9.00 minimum / 10.00 maximum,micrometer at four corners and center,CANDIDATE CONTROL; FAI REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",,
adapter-drawing-controls.csv,5,ADP-004,four M2.5 clearance holes,diameter 2.70 at X +/-16.00 Z +/-8.00,diameter +0.10/-0.00; each center coordinate +/-0.05,pin gauges plus CMM or optical comparator,CANDIDATE CONTROL; FAI REQUIRED; RECEIVED FRAME FIT REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",,
adapter-drawing-controls.csv,6,ADP-005,two M5 clearance holes,diameter 5.50 at X 0 Z +/-10.00,diameter +0.10/-0.00; each center coordinate +/-0.05,pin gauges plus CMM or optical comparator,CANDIDATE CONTROL; FAI REQUIRED; RECEIVED END-TAP FIT REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",,
adapter-drawing-controls.csv,7,ADP-006,two M5 countersinks,diameter 11.30; 90 degree included nominal,diameter +0.10/-0.00; received head proud <=0.05 and recess <=0.25,CMM/optical plus received SHKL-M5-20-A2-R360 functional gauge,CANDIDATE CONTROL; FAI REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",,
adapter-drawing-controls.csv,8,ADP-007,residual below countersink,not applicable,>=5.80,derive from measured thickness and countersink depth; retain raw data,CANDIDATE CONTROL; FAI REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",,
adapter-drawing-controls.csv,9,ADP-008,broad-face flatness,not applicable,<=0.15 over finished part,surface plate and indicator or CMM,CANDIDATE CONTROL; FAI REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",,
adapter-drawing-controls.csv,10,ADP-009,opposite broad-face parallelism,not applicable,<=0.10,micrometer map or CMM,CANDIDATE CONTROL; FAI REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",,
adapter-drawing-controls.csv,11,ADP-010,edges and finish,bare as-machined,break 0.20 to 0.50; no burrs; no coating,visual and edge-break gauge,CANDIDATE CONTROL; FAI REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",,
new-interface-drawing-controls.csv,2,C04-001,finished envelope,48.00 x 40.00 x 9.525,width/height +/-0.10; thickness 9.00 to 10.00,CMM/caliper plus five-point micrometer map,CANDIDATE CONTROL; FAI REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",MV0-C04,
new-interface-drawing-controls.csv,3,C04-002,four H104 clearance holes,"diameter 2.70 at X/Z (-11,+8),(+11,+8),(-12,-6),(+12,-6)",diameter +0.10/-0.00; coordinates +/-0.05,pin gauges plus CMM; dry fit received H104,EXACT STEP-AXIS CANDIDATE; FAI/FIT REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",MV0-C04,
new-interface-drawing-controls.csv,4,C04-003,two M5 clearance/countersink holes,diameter 5.50 and countersink 11.30 at X=0 Z=+/-10,hole +0.10/-0.00; countersink +0.10/-0.00; 90 deg nominal,pin/CMM/optical plus received M5 functional gauge,CANDIDATE CONTROL; FAI REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",MV0-C04,
new-interface-drawing-controls.csv,5,C04-004,broad faces and finish,bare as-machined,flatness <=0.15; parallelism <=0.10; edge break 0.20 to 0.50; burr-free,surface plate/CMM and visual,CANDIDATE CONTROL; FAI REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",MV0-C04,
new-interface-drawing-controls.csv,6,C04-005,received H104 registration,all four selected axes accept received frame without forced alignment,"no filing, slotting, bending or substitution",documented dry fit with fasteners loose; preserve photos and deviations,PHYSICAL FIT REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",MV0-C04,
new-interface-drawing-controls.csv,7,C05-001,finished envelope,48.00 x 80.00 x 9.525,width/height +/-0.10; thickness 9.00 to 10.00,CMM/caliper plus five-point micrometer map,CANDIDATE CONTROL; FAI REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",MV0-C05,
new-interface-drawing-controls.csv,8,C05-002,four S102 clearance holes,diameter 2.70 at X=+/-16 Z=+/-8,diameter +0.10/-0.00; coordinates +/-0.05,pin gauges plus CMM; dry fit received S102,EXACT STEP-AXIS CANDIDATE; FAI/FIT REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",MV0-C05,
new-interface-drawing-controls.csv,9,C05-003,two column-slot clearance holes,diameter 8.50 at X=0 Z=+/-30,diameter +0.10/-0.00; coordinates +/-0.05,pin gauges plus CMM; dry fit received 17-8520/13035/40-4040,CANDIDATE CONTROL; FAI/FIT REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",MV0-C05,
new-interface-drawing-controls.csv,10,C05-004,broad faces and finish,bare as-machined,flatness <=0.15; parallelism <=0.10; edge break 0.20 to 0.50; burr-free,surface plate/CMM and visual,CANDIDATE CONTROL; FAI REQUIRED,UNEXECUTED,REVIEW INPUT ONLY,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION",MV0-C05,
