hold_id,hold,closure_evidence,status,warning
MDFM-H01,Qualified mechanical review,"Exact P0.7 parts, datums, tolerance scheme, load paths and inspection methods need signed disposition.",OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H02,Architecture freeze,P0.7 remains controlled; P1.1/X430 exists but is nonselected and incomplete mass/duty evidence remains open.,OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H03,Material and MTR,"6061-T651 identity, heat lot, stock condition and substitution policy need supplier acceptance and receiving evidence.",OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H04,Received interface hardware,"H104, S102, 20-2040 and 40-4040 identities and metrology are not closed.",OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H05,T-slot joint capacity,"C05 column slip, pullout, prying, preload and proof basis remain open.",OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H06,Countersink and fastener stack,"Received head fit, residual thickness, engagement, torque, locking, access and proof remain open.",OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H07,J2 stop bumper,"Material, geometry, retention, force-stroke, temperature and life remain selection required.",OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H08,J2 stop load and contact,"Single-rail load, tolerance, deformation, rebound, overtravel and physical proof remain open.",OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H09,"Cable, connector and guard envelope","Complete swept geometry, strain relief, local guard and pinch controls remain open.",OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H10,"Mass, COM and inertia",Complete received assembly values remain unmeasured; P1.1 comparison is not a closed upper bound.,OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H11,Continuous actuator duty,"Configuration-specific torque, current and thermal limits are not demonstrated.",OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H12,All physical acceptance,"FAI, dry fit, contact, stopping, proof, fatigue and impact evidence are unexecuted.",OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H13,Provider acceptance,"No provider has reviewed or accepted the files, tolerances, material, inspection or workholding.",OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H14,Commercial authority,"No contact, upload, quotation, purchase, first article or fabrication authority exists.",OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MDFM-H15,Safety and energization,No functional-safety validation or energization authority exists.,OPEN,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
