fai_id,part_id,sequence,operation,method,required_evidence,execution_state,acceptance_state,next_work_authorized,warning
FAI-C01-01,MV0-C01,1,material,Verify alloy/temper/heat-lot identity against MTR,MTR plus receiving identity,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C01-02,MV0-C01,2,visual,"Verify bare finish, edge break and burr-free condition",Calibrated visual/edge inspection,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C01-03,MV0-C01,3,envelope,"Record width, height and five-point thickness map",Caliper/micrometer or CMM raw data,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C01-04,MV0-C01,4,features,"Inspect all holes, countersinks, profiles and part-specific critical datums",Pin gauges plus CMM/optical raw report,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C01-05,MV0-C01,5,dry_fit,Dry-fit only against received mating articles without forced alignment,"Photos, fastener-loose record and deviations",UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C01-06,MV0-C01,6,disposition,Qualified reviewer dispositions every result and deviation before further work,Signed disposition; segregation state,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C04-01,MV0-C04,1,material,Verify alloy/temper/heat-lot identity against MTR,MTR plus receiving identity,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C04-02,MV0-C04,2,visual,"Verify bare finish, edge break and burr-free condition",Calibrated visual/edge inspection,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C04-03,MV0-C04,3,envelope,"Record width, height and five-point thickness map",Caliper/micrometer or CMM raw data,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C04-04,MV0-C04,4,features,"Inspect all holes, countersinks, profiles and part-specific critical datums",Pin gauges plus CMM/optical raw report,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C04-05,MV0-C04,5,dry_fit,Dry-fit only against received mating articles without forced alignment,"Photos, fastener-loose record and deviations",UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C04-06,MV0-C04,6,disposition,Qualified reviewer dispositions every result and deviation before further work,Signed disposition; segregation state,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C05-01,MV0-C05,1,material,Verify alloy/temper/heat-lot identity against MTR,MTR plus receiving identity,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C05-02,MV0-C05,2,visual,"Verify bare finish, edge break and burr-free condition",Calibrated visual/edge inspection,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C05-03,MV0-C05,3,envelope,"Record width, height and five-point thickness map",Caliper/micrometer or CMM raw data,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
