item_id,function,requirement,selection_state,received_state,use_authorized,warning
TOOL-01,T25 driver bit for SHKL M5,Exact bit/reach and torque tool,SELECTION REQUIRED,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
TOOL-02,2 mm hex for M2.5 SHCS,Exact bit/reach and torque tool,SELECTION REQUIRED,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
TOOL-03,5 mm wrench for M2.5 locknut,Exact profile/reach,SELECTION REQUIRED,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
TOOL-04,6 mm hex for 17-8520 M8,Exact bit/reach and torque tool,SELECTION REQUIRED,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
TOOL-05,calibrated torque instruments,Range/accuracy/calibration for each selected joint,SELECTION REQUIRED,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
TOOL-06,pin gauges,2.70/5.50/8.50 feature acceptance set and calibration,SELECTION REQUIRED,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
TOOL-07,micrometer and caliper,"Thickness/envelope range, resolution and calibration",SELECTION REQUIRED,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
TOOL-08,CMM or optical comparator,Coordinate/profile method and uncertainty,SELECTION REQUIRED,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
TOOL-09,surface plate/indicator,Flatness/parallelism method and calibration,SELECTION REQUIRED,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
TOOL-10,feeler/gap/contact witness set,Hard-stop gap/contact method and calibration,SELECTION REQUIRED,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CONS-01,fastener locking material,Use only received pre-applied locking or separately qualified selection; do not mix,SELECTION REQUIRED,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CONS-02,anti-galling control,Stainless joint-specific method,SELECTION REQUIRED,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
