hold_id,hold,state,closure_evidence,fabrication_effect,warning
R247-H01,Qualified mechanical drawing/GD&T disposition,OPEN,Signed review of five successor drawings and formal DRF/FCFs,BLOCKS FABRICATION/ASSEMBLY RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R247-H02,Authorized provider capability/DFM contact,OPEN,Separate written scope and exact transmitted hash record,BLOCKS FABRICATION/ASSEMBLY RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R247-H03,Provider DFM response,OPEN,Complete answers and disposition of every exception,BLOCKS FABRICATION/ASSEMBLY RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R247-H04,Material and process release,OPEN,"Exact specification/edition, heat lot, MTR, stock and process acceptance",BLOCKS FABRICATION/ASSEMBLY RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R247-H05,Fastener/torque/locking/reuse release,OPEN,"Received lots, stack measurements, torque development and proof",BLOCKS FABRICATION/ASSEMBLY RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R247-H06,Five-part first-article inspection,OPEN,All thirty FAI operations with calibrated raw evidence,BLOCKS FABRICATION/ASSEMBLY RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R247-H07,Unpowered assembly authorization,OPEN,Separate scope/configuration authority with zero-energy controls,BLOCKS FABRICATION/ASSEMBLY RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R247-H08,Unpowered full-chain fit,OPEN,All 21 steps and nine joint rows accepted,BLOCKS FABRICATION/ASSEMBLY RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R247-H09,Hard-stop bumper/contact/load/life closure,OPEN,Exact bumper and physical/analytical proof,BLOCKS FABRICATION/ASSEMBLY RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R247-H10,Structural and joint proof,OPEN,"Static, slip, pullout, prying, fatigue and proof cases",BLOCKS FABRICATION/ASSEMBLY RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R247-H11,Mass/COM/inertia reconciliation,OPEN,Received moving-item and assembly metrology,BLOCKS FABRICATION/ASSEMBLY RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R247-H12,Immutable configuration and qualified release,OPEN,Merged clean-clone baseline and signed decision,BLOCKS FABRICATION/ASSEMBLY RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
