step_id,interface_or_phase,instruction,required_evidence,hold_behavior,execution_state,assembly_authorized,warning
UA-01,AUTHORITY,"Verify separate written unpowered-assembly authorization, exact commit and package hashes before touching hardware.",Signed scope/configuration authorization,STOP,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-02,ENERGY CONTROL,"Physically exclude all electrical sources, batteries and actuator-power leads; apply visible zero-energy tags.",Independent absence-of-energy witness,STOP,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-03,RECEIVING,"Match all five custom parts, purchased frames, actuators and candidate fasteners to receiving records.",Identity/hash/lot register,STOP,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-04,INSPECTION,Accept material certificate and all thirty FAI operations before using any custom part.,Signed FAI disposition,STOP,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-05,A00,Dry-fit MV0-C05 to the 40-4040 column T-slot with 17-8520/13035 candidates finger-tight only.,Photos; no-force fit; stack measurements,HOLD,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-06,A00,Dry-fit J1 S102 to MV0-C05 using SCB2.5-20/HNN-M2.5-A2 candidates finger-tight only.,Four-hole alignment and tool-access record,HOLD,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-07,A01,Dry-fit J1 H101 to MV0-C01 finger-tight only.,Four-hole alignment record,HOLD,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-08,A02,Dry-fit MV0-C01 to the upper 20-2040 member and verify both M5 heads seat within the drawing limits.,End-tap depth/thread gauge and seating record,HOLD,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-09,A03,Dry-fit MV0-C07 to the opposite upper-member end.,End-tap depth/thread gauge and seating record,HOLD,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-10,A04,Dry-fit J2 S102 to MV0-C07 finger-tight only.,Four-hole alignment and catch orientation record,HOLD,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-11,A05,Dry-fit J2 H101 to MV0-C06 finger-tight only.,Four-hole alignment and striker orientation record,HOLD,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-12,A06,Dry-fit MV0-C06 and MV0-C04 to opposite forearm-member ends.,Both end interfaces and head seating record,HOLD,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-13,A07,Dry-fit H104 to MV0-C04 finger-tight only.,Asymmetric four-hole alignment and orientation record,HOLD,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-14,CHAIN,Join the loose subassemblies in the controlled P0.8 transform order without forcing alignment.,Full-chain photos and deviation log,HOLD,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-15,ACCESS,"Sweep required driver/wrench access; inspect cable, guard, service and pinch-clearance envelopes unpowered.",Tool/cable/guard clearance record,HOLD,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-16,STOP,Manually approach HS-J2-POS with actuator torque disabled; verify intended rail-to-rail sequence without impact.,"Contact witness, gap map and zero-impact record",HOLD,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-17,TORQUE PLAN,"Populate only qualified, fastener-lot-specific torque/locking/reuse values; do not infer catalog defaults.",Approved joint-control sheet,STOP,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UA-18,TIGHTENING,Apply the approved staged tightening sequence only after all loose-fit holds pass.,Calibrated tool ID and as-built torque record,STOP,NOT EXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
