payload_id,part_id,quantity,artifact_class,path,sha256,transmission_authorized,provider_response,warning
RFQ-01-SHOP-DRAWING,MV0-C01,1,SHOP DRAWING,cad/hr-v0/generated/mechanical-shop-drawing-p0.2/MV0-C01_shop-drawing_P0.2.svg,943f4a84968f519c92afa5077f1b95df50bb2216be667901aee7b161becd5303,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-01-FINISHED-DXF,MV0-C01,1,FINISHED DXF,cad/hr-v0/generated/mechanical-drawing-p0.1/dxf/MV0-C01_finished-profile-and-features_P0.1.dxf,279882bb24ac9fb359b55feac92fca82d8ca8cfaa8c14dae72699d6891f204db,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-01-STEP,MV0-C01,1,STEP,cad/hr-v0/generated/countersink-mbd-p0.1/MV0-C01_rect32x16_to_20-2040_countersunk_adapter_P0.8_nominal-countersink-candidate.step,8f8e1c658687b3a63f8cc5d8fc26031186aa2663997c7830281c993bff839dea,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-02-SHOP-DRAWING,MV0-C04,1,SHOP DRAWING,cad/hr-v0/generated/mechanical-shop-drawing-p0.2/MV0-C04_shop-drawing_P0.2.svg,5848652b7915fd1836caa390f6830d433879561908d3101d0068ffe21c803643,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-02-FINISHED-DXF,MV0-C04,1,FINISHED DXF,cad/hr-v0/generated/mechanical-drawing-p0.1/dxf/MV0-C04_finished-profile-and-features_P0.1.dxf,7ec6ca1e23a02502ec192d90727f1e33a462789950f31eacb792fa031b449e79,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-02-STEP,MV0-C04,1,STEP,cad/hr-v0/generated/countersink-mbd-p0.1/MV0-C04_H104_to_20-2040_countersunk_adapter_P0.8_nominal-countersink-candidate.step,d2d82b5c2ff85e67d9eb4203e0e9c9b96e96a87da265ee65f63305e32c4b6077,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-03-SHOP-DRAWING,MV0-C05,1,SHOP DRAWING,cad/hr-v0/generated/mechanical-shop-drawing-p0.2/MV0-C05_shop-drawing_P0.2.svg,9311b6ea830bdc016aa286a75ecbf5a0559c8e668a0f1b4ea0d383a14ba5aff9,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-03-FINISHED-DXF,MV0-C05,1,FINISHED DXF,cad/hr-v0/generated/mechanical-drawing-p0.1/dxf/MV0-C05_finished-profile-and-features_P0.1.dxf,459e07827292c853dc66bd3847934c5315e928018ebd54075be27d9a6e9f5029,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-03-STEP,MV0-C05,1,STEP,cad/hr-v0/generated/arm-architecture-p0.7/parts/MV0-C05_S102_to_40-4040_side_slot_support.step,e9c96826ccac75f4c339d5d9171f73df1badd876546d631413ae8ec998d53d08,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-04-SHOP-DRAWING,MV0-C06,1,SHOP DRAWING,cad/hr-v0/generated/mechanical-shop-drawing-p0.2/MV0-C06_shop-drawing_P0.2.svg,61326b9e7b7b88389e3bbaeaa16926d510973b0b3d62f358416fc7d44bc47a69,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-04-FINISHED-DXF,MV0-C06,1,FINISHED DXF,cad/hr-v0/generated/mechanical-drawing-p0.1/dxf/MV0-C06_finished-profile-and-features_P0.1.dxf,bc6b6ef91233815bb640afb6bd9beda718b2ab47681904a12ee672f2ff2df279,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-04-STEP,MV0-C06,1,STEP,cad/hr-v0/generated/countersink-mbd-p0.1/MV0-C06_J2_positive_moving_striker_adapter_P0.8_nominal-countersink-candidate.step,27e4014e78060b05698e4ca5f2fff55f5677ca2d590486e8e7c2e0a0a1dbb6d7,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-05-SHOP-DRAWING,MV0-C07,1,SHOP DRAWING,cad/hr-v0/generated/mechanical-shop-drawing-p0.2/MV0-C07_shop-drawing_P0.2.svg,278ddd9e1b00667d64ea557283b057518aa442101f724b56692aa7c66855bac7,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-05-FINISHED-DXF,MV0-C07,1,FINISHED DXF,cad/hr-v0/generated/mechanical-drawing-p0.1/dxf/MV0-C07_finished-profile-and-features_P0.1.dxf,f9e3c9cea1c7a05942d492faf9bc6d3e16c32308ada1afc1cf191364845db1de,FALSE,NOT SENT / NO RESPONSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
