scope,zone_id,bin_lower_inclusive,bin_upper_inclusive_last_otherwise_exclusive,count,fraction,total_tetrahedra,minimum_sicn,fraction_below_0p20,exact_zone_volume_mm3,effective_h_mm,global_gate,monitored_zone_min_0p20_gate,warning
GLOBAL,ALL,0.0,0.1,6,4.800948667456689e-06,1249753,0.09456511258889982,1.520300411361285e-05,83642.81779183072,0.40600821628995043,FAIL,FAIL,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
GLOBAL,ALL,0.1,0.2,13,1.040205544615616e-05,1249753,0.09456511258889982,1.520300411361285e-05,83642.81779183072,0.40600821628995043,FAIL,FAIL,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
GLOBAL,ALL,0.2,0.3,114,9.12180246816771e-05,1249753,0.09456511258889982,1.520300411361285e-05,83642.81779183072,0.40600821628995043,FAIL,FAIL,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
GLOBAL,ALL,0.3,0.4,755,0.0006041193739883,1249753,0.09456511258889982,1.520300411361285e-05,83642.81779183072,0.40600821628995043,FAIL,FAIL,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
GLOBAL,ALL,0.4,0.5,2983,0.0023868716458372175,1249753,0.09456511258889982,1.520300411361285e-05,83642.81779183072,0.40600821628995043,FAIL,FAIL,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
GLOBAL,ALL,0.5,0.6,10125,0.008101600876333163,1249753,0.09456511258889982,1.520300411361285e-05,83642.81779183072,0.40600821628995043,FAIL,FAIL,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
GLOBAL,ALL,0.6,0.7,48242,0.03860122760257427,1249753,0.09456511258889982,1.520300411361285e-05,83642.81779183072,0.40600821628995043,FAIL,FAIL,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
GLOBAL,ALL,0.7,0.8,205329,0.1642956648233691,1249753,0.09456511258889982,1.520300411361285e-05,83642.81779183072,0.40600821628995043,FAIL,FAIL,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
GLOBAL,ALL,0.8,0.9,557943,0.44644261706113125,1249753,0.09456511258889982,1.520300411361285e-05,83642.81779183072,0.40600821628995043,FAIL,FAIL,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
GLOBAL,ALL,0.9,1.0,424243,0.3394614775879714,1249753,0.09456511258889982,1.520300411361285e-05,83642.81779183072,0.40600821628995043,FAIL,FAIL,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EXACT_ZONE,C07-MATRIX,0.0,0.1,0,0.0,750095,0.20051980782252937,0.0,81022.70067694574,0.47624469192605606,PASS,PASS,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EXACT_ZONE,C07-MATRIX,0.1,0.2,0,0.0,750095,0.20051980782252937,0.0,81022.70067694574,0.47624469192605606,PASS,PASS,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EXACT_ZONE,C07-MATRIX,0.2,0.3,96,0.00012798378872009544,750095,0.20051980782252937,0.0,81022.70067694574,0.47624469192605606,PASS,PASS,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EXACT_ZONE,C07-MATRIX,0.3,0.4,368,0.0004906045234270326,750095,0.20051980782252937,0.0,81022.70067694574,0.47624469192605606,PASS,PASS,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EXACT_ZONE,C07-MATRIX,0.4,0.5,759,0.0010118718295682547,750095,0.20051980782252937,0.0,81022.70067694574,0.47624469192605606,PASS,PASS,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EXACT_ZONE,C07-MATRIX,0.5,0.6,4850,0.006465847659296489,750095,0.20051980782252937,0.0,81022.70067694574,0.47624469192605606,PASS,PASS,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EXACT_ZONE,C07-MATRIX,0.6,0.7,27266,0.036350062325438776,750095,0.20051980782252937,0.0,81022.70067694574,0.47624469192605606,PASS,PASS,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EXACT_ZONE,C07-MATRIX,0.7,0.8,121953,0.16258340610189376,750095,0.20051980782252937,0.0,81022.70067694574,0.47624469192605606,PASS,PASS,"PRELIMINARY - PREREGISTERED FRONTAL TETRAHEDRALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
