relative_path,sha256,bytes,warning
acceptance-matrix.csv,b87833f69d66a3b1a4118c9719954e828ef25def2d376e33ce96a959e9bbc322,94147,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
bom-integration-map.csv,4b0c85b09d7c9e84d26980e428f463746f54539598a24a270594756c9bd3fd62,7298,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
current-configuration-map.csv,fda46bf4f6e53e86076d01aeddbda01becb97702df92851afe90927271296dc9,24095,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
gate-impact.csv,c315b7712f42cae36eea540c6bd3466c66b6b9b4d0b9cb0204c92bfe6b9d4354,26247,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
index.html,267809b0b439f2e1716873f91be7a18b006804e8b7e13d83aa9d1b07473c22b1,13280,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
open-holds.csv,ae7993ad9c0e32ca8a27a7fbfd2131989eed99d32367c45dd9939690f1e126c5,93903,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
package-status.json,fa27d59527c053bdbddd5465179d0390575b4486e9800a95cec3142b59515330,3424,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
README.md,641ac098f0a352c490e579ddda570d9bb8aeb18b76a019778ac943680cf658d5,296,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
source-hash-register.csv,129cb0930cfb60ec481350b808e1ec8f09f37f084cb18512c1bf9ecc4335c0f4,17837,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
supersession-map.csv,8d0f3cbdd4030cde0d55743bafbc55d3dfdc5ea9262936475db48f5c81af06d8,14055,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
