zone_id,family,material_fragment_count,material_volume_mm3,quality_rule,classification,warning
C07-MATRIX,C07-MATRIX,1,81022.70067694575,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PE-FUSED,C07-PE,1,253.10657525325172,ALL FUSED PE CELLS >=0.20 CONSERVATIVELY COVERS EACH EXACT PE SUBZONE,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PF,C07-PF,1,398.5015926535899,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E1-LIGAMENT,HOLE-LIGAMENT,1,276.0674544342032,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E1-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,1,15.665101153891095,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E1-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,1,23.931415159004594,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2-LIGAMENT,HOLE-LIGAMENT,1,276.0674544342032,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,1,15.665101153891094,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,1,23.931415159004537,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H1-LIGAMENT,HOLE-LIGAMENT,1,316.782495224727,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
