fragment_tag_diagnostic_only,fragment_signature_sha256,bbox_mm_json,center_of_mass_mm_json,volume_mm3,zone_id,family,source,warning
8,7b46ef83d4f9603324f7212dd9bcd91db786a2c7e3263572c8f2f0ccc94c4ccb,"[-54.00000015,-15.87500015,-20.00000015,54.00000015,10.23500015,22.00000015]","[-0.353860821,-3.369805415,-0.315551634]",81022.70067694575,C07-MATRIX,C07-MATRIX,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
29,04b28d553d2226cf1aa17dd9207f94e40d4be84294023a7bfd292f54a497785d,"[36.79999985,7.00499985,-20.00000015,51.20000015,8.52500015,22.00000015]","[44.0,7.663278256,1.0]",253.10657525325172,C07-PE-FUSED,C07-PE,UNION OF EIGHT EXACT R288 PE MATERIAL SUBZONES,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1,535a180a00f3c361d0429f9bdf15debca34b0c34de6b37ad7db79276ea8144a0,"[38.7999999,7.0049999,-18.2000001,49.2000001,8.0050001,20.2000001]","[44.0,7.505,1.0]",398.5015926535899,C07-PF,C07-PF,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,c85ce7c04740fe7252087c11e5ddd1718a389c00eac50df2c606636bfaea9d42,"[-5.7500001,3.8999999,-15.7500001,5.7500001,8.5250001,-4.2499999]","[-0.0,6.2125,-10.0]",276.0674544342032,E1-LIGAMENT,HOLE-LIGAMENT,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
16,7bd59ee9b2bf07c8e4b499c6ed36bd07dd75b8993a5c1529112a7840d81195ac,"[-4.058970851,8.5249999,-14.058970851,4.058970851,10.2350001,-5.941029149]","[0.0,9.10719327,-10.0]",15.665101153891095,E1-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
28,3df2cbd90843d5c9c7c6072847d8bcb955342b49a3bcc1466de71b05d665832c,"[-4.058970851,1.8999999,-14.058970851,4.058970851,3.9000001,-5.941029149]","[0.0,3.086589123,-10.0]",23.931415159004594,E1-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,71e2c16f1541e6b3f1249cf86561fbc269039b772bcc0905068a742cf3357aaa,"[-5.7500001,3.8999999,4.2499999,5.7500001,8.5250001,15.7500001]","[-0.0,6.2125,10.0]",276.0674544342032,E2-LIGAMENT,HOLE-LIGAMENT,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
14,4d0c8427f74a102bd2c081bf65efaaf4aada98bbda5d0a5bbbf52ac00d354586,"[-4.058970851,8.5249999,5.941029149,4.058970851,10.2350001,14.058970851]","[0.0,9.10719327,10.0]",15.665101153891094,E2-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
27,957a6912f49cebefcde8085c5f0035143d91e33894773082d23ab9e6b12323f4,"[-4.058970851,1.8999999,5.941029149,4.058970851,3.9000001,14.058970851]","[0.0,3.086589123,10.0]",23.931415159004537,E2-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,4ce9f7136c179786d5ca38b25cc38bbb0b0c20f2793b6f0ad6d77b61c82223e2,"[-20.3500001,0.9999999,-12.3500001,-11.6499999,8.5250001,-3.6499999]","[-16.0,4.7625,-8.0]",316.782495224727,H1-LIGAMENT,HOLE-LIGAMENT,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
