reference,logical_terminal,function,net,state,warning
JGIN1,PWR,POST-K1/K2 +24 V,POST_K1_K2_24V,INTERFACE SELECTION REQUIRED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JGIN1,RTN,0 V return,GRIP_0V,INTERFACE SELECTION REQUIRED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FGRIP1,IN,SOURCE,POST_K1_K2_24V,VALUE/MPN SELECTION REQUIRED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FGRIP1,OUT,PROTECTED,GRIP_24V_PROTECTED,VALUE/MPN SELECTION REQUIRED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DCGRIP1,VIN,VIN,GRIP_24V_PROTECTED,NOT SELECTED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DCGRIP1,GND,GND,GRIP_0V,NOT SELECTED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DCGRIP1,VOUT,6 V OUT,GRIP_6V,NOT SELECTED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DCGRIP1,PG,POWER GOOD,GRIP_PG_SENSE,NOT SELECTED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DCGRIP1,EN,ENABLE - NO EXTERNAL CONNECTION,NC_DCGRIP_EN,NOT SELECTED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JUSB1,VBUS,USB VBUS,PI_USB_5V,CABLE/PORT SELECTION REQUIRED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JUSB1,D-,USB D-,USB_D_MINUS,CABLE/PORT SELECTION REQUIRED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JUSB1,D+,USB D+,USB_D_PLUS,CABLE/PORT SELECTION REQUIRED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JUSB1,GND,USB GND,GRIP_0V,CABLE/PORT SELECTION REQUIRED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UGRIP1,USB5V,USB logic power,PI_USB_5V,PREFERRED EVALUATION CANDIDATE - ZERO SAFETY CREDIT,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UGRIP1,USB_D-,USB D-,USB_D_MINUS,PREFERRED EVALUATION CANDIDATE - ZERO SAFETY CREDIT,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UGRIP1,USB_D+,USB D+,USB_D_PLUS,PREFERRED EVALUATION CANDIDATE - ZERO SAFETY CREDIT,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UGRIP1,GND,COMMON GND,GRIP_0V,PREFERRED EVALUATION CANDIDATE - ZERO SAFETY CREDIT,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UGRIP1,SERVO_PWR,SERVO POWER RAIL,GRIP_6V,PREFERRED EVALUATION CANDIDATE - ZERO SAFETY CREDIT,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
