missing_id,input,affected_loops,classification,evidence_to_close,state,warning
MIS-001,F24/FSR1/FSR2 exact links and holders including hot resistance,ALL/K1/K2,PROTECTION,Selected order codes and primary data plus coordination,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-002,"J24 received mating identity, continuity and contact resistance",ALL,INTERFACE,Receiving record and four-wire measurement,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-003,Common forward and return conductor identities/lengths,ALL,HARNESS,Released P2P routes and as-built cuts,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-004,XD24/XD0 path resistance and jumper topology,ALL,DISTRIBUTION,Received identity and measured worst path,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-005,Actual conductor DCR versus temperature and installation,ALL,THERMAL,Four-wire measurements and accepted correction,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-006,Phoenix maximum current and minimum operate voltage outside 20 C,KWD1/KWD2,MANUFACTURER,Written manufacturer application response,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-007,Phoenix 11-14 maximum closed-contact drop/resistance/endurance,SRA1,MANUFACTURER,Written response and received test,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-008,JWP1 plus PCB copper/via resistance and thermal rise,KWD1/KWD2/WDPCB1,PCB,Accepted stackup and physical measurement,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-009,TPL7407L guaranteed VOL at actual current/temperature,KWD1/KWD2,DRIVER,Bound max module current and applicable datasheet point or test,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-010,Maximum simultaneous rail current by machine state,ALL,LOAD BUDGET,State-aware maximum-current table,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-011,GlobTek dynamic undershoot/foldback/recovery,ALL,SOURCE DYNAMIC,Written response and installed traces,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-012,GlobTek ripple/tolerance/overshoot composition,ALL,SOURCE STATIC/DYNAMIC,Written response or conservative accepted rule,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-013,"H1 exact current, polarity and operating range",H1,LOAD,Exact order code and primary data,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-014,"Measurement uncertainty, aging and design margin policy",ALL,ACCEPTANCE,Qualified accepted calculation/test rule,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-015,"Installed ambient, enclosure temperature and bundling",ALL,ENVIRONMENT,Frozen site/install conditions and thermal test,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-016,Received hardware voltage traces at every load,ALL,PHYSICAL,Configuration-bound test record,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-017,No-unintended-restart brownout and recovery evidence,ALL,FUNCTIONAL,Fault-injection record,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MIS-018,Qualified electrical and functional-safety disposition,ALL,AUTHORITY,Signed review against frozen configuration,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
