hold_id,hold,affected_gate,state,closure_evidence,warning
R246-H01,Complete installed forward and return resistance budget,EG-004/015/020,OPEN,"Selected parts, released routes and received measurements","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R246-H02,State-aware guaranteed maximum control-load current,EG-004/020,OPEN,Manufacturer maxima and frozen simultaneous-state table,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R246-H03,Source dynamic sag/foldback/recovery and ripple composition,EG-004/020,OPEN,Written GlobTek evidence and installed traces,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R246-H04,KWD module current and 11-14 contact drop/endurance,EG-004/012,OPEN,Phoenix written response and physical test,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R246-H05,Driver/PCB/JWP1 return-path bound,EG-004/020,OPEN,"Accepted stackup, connector and worst-case VOL evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R246-H06,F24/FSR1/FSR2 selection and coordination,EG-003/004/010,OPEN,Exact order codes and protection study,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R246-H07,"Temperature, bundling, aging and measurement uncertainty",EG-015/020,OPEN,Qualified accepted derating and measurement plan,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R246-H08,Received no-load and simultaneous-pickup traces,EG-018/020,OPEN,Configuration-bound physical records,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R246-H09,Brownout/recovery no-unintended-start fault injection,EG-012/022,OPEN,Configuration-bound fault record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R246-H10,Qualified electrical and functional-safety review,EG-022,OPEN,Signed disposition against frozen configuration,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
