element_id,applies_to,terminal_or_path,published_or_prior_value,usable_bound,missing_evidence,disposition,warning
SER-001,all loops,GlobTek regulation point at output connector,22.8-25.2 V,YES - source connector only,Installed dynamic behavior,INCLUDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-002,all loops,factory YL4/C40337 cord,Regulation stated at output connector,NO ADDITIONAL DROP ASSIGNED,Received identity and definition of regulation point,DO NOT DOUBLE COUNT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-003,all loops,J24 mating contacts,Kycon candidate max 30 milliohm/contact,NO,"Received plug equality, pin path, temperature and mating condition",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-004,all loops,J24:1 to F24:IN,No controlled P2P record,NO,"Conductor, length, terminations and DCR",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-005,all loops,F24 link and holder,No value/order code released,NO,"Cold/hot resistance, time-current, interrupting and coordination",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-006,all loops,P2P-033 F24:OUT to XD24:LINE,No released length/conductor,NO,Installed route and resistance,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-007,all loops,XD24 distribution,No maximum path resistance,NO,Received terminal/jumper identity and path measurement,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-008,SR1,C-01 forward conductor,0.019780512 ohm nominal centerline at 20 C,NO - planning only,"Actual cut, return, temperature, terminations and received DCR",PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-009,SRA1,C-03+C-06+C-07 forward conductors,0.021714895 ohm nominal centerline at 20 C,NO - planning only,"Actual cuts, KWD contacts, return, temperature and terminations",PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-010,KWD1,C-02 forward conductor,0.018770013 ohm nominal centerline at 20 C,NO - planning only,"Actual cut, return and full module current bound",PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-011,KWD2,C-04 forward conductor,0.018394685 ohm nominal centerline at 20 C,NO - planning only,"Actual cut, return and full module current bound",PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-012,SRA1,KWD1/KWD2 11-14 contacts,No maximum closed-contact drop found,NO,Manufacturer/application response and received measurement,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-013,K1/K2,FSR1/FSR2 links and holders,No value/order code released,NO,"Resistance, coordination, thermal and time-current",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-014,KWD1/KWD2,JWP1 contacts and PCB copper/vias,No accepted bound,NO,"Connector, fabrication stack, copper path and temperature",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-015,KWD1/KWD2,TPL7407L low-side sink,0.320 V max at 100 mA; 0.650 V max at 200 mA,NO AT ACTUAL CURRENT,Guaranteed current/temperature operating point,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-016,all loops,XD0 return distribution,No maximum path resistance,NO,Received terminal/jumper identity and path measurement,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-017,all loops,P2P-048 J24:3 to XD0:LINE,No released length/conductor,NO,Installed route and resistance,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SER-018,SR1/SRA1/KWD,P2P-049/051/029/030/055 returns,No released resistance bounds,NO,"Conductor, length, terminations and installed DCR",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
