question_id,recipient,question,required_response,state,warning
Q-001,GlobTek,Does +/-5% output regulation include ripple and line/load/temperature variation?,Written exact-model answer,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-002,GlobTek,What minimum dynamic output and recovery apply during 0.5 A/5 ms and simultaneous pickup?,Waveform/test conditions or guaranteed bound,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-003,GlobTek,"What foldback, hiccup and restart behavior applies to the exact model?",Protection thresholds and recovery behavior,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-004,GlobTek,Is regulation specified at the YL4 mating connector and does it include factory-cord drop?,Definition of measurement point,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-005,Phoenix Contact,What maximum input current and minimum operate voltage apply across rated temperature for 2967060?,Guaranteed limits,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-006,Phoenix Contact,What maximum closed voltage drop/resistance applies to 11-14 at the Pilz A1 pulse and steady currents?,Guaranteed application limit,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-007,Phoenix Contact,Is 2967060 suitable for repeated switching of the proposed PNOZ s4 A1 input waveform?,Written application disposition,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-008,Pilz,Confirm acceptable PNOZ s4 behavior for the measured source sag/ripple/brownout envelope once available.,Written application disposition,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-009,Schneider Electric,Provide maximum LC1D25BD coil pickup/hold current versus temperature and minimum voltage at coil terminals.,Guaranteed coil envelope,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-010,TRACO POWER,Provide worst-case TSR 1-2450 input/startup current for the frozen watchdog-board load.,Guaranteed or application-specific envelope,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
