hold_id,hold,state,closure_evidence,release_effect,warning
R250-H01,Licensed/current standards available to qualified reviewer,OPEN,NOT EXECUTED,BLOCKS FORMAL GD&T/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R250-H02,Functional datum scheme accepted for all five parts,OPEN,NOT EXECUTED,BLOCKS FORMAL GD&T/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R250-H03,FCF values/modifiers and profile/contact controls accepted,OPEN,NOT EXECUTED,BLOCKS FORMAL GD&T/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R250-H04,Countersink and received-fastener functional controls accepted,OPEN,NOT EXECUTED,BLOCKS FORMAL GD&T/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R250-H05,Inspection fixture/probing/alignment method accepted,OPEN,NOT EXECUTED,BLOCKS FORMAL GD&T/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R250-H06,Uncertainty budgets and conformity decision rules accepted,OPEN,NOT EXECUTED,BLOCKS FORMAL GD&T/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R250-H07,Successor drawings updated and independently checked,OPEN,NOT EXECUTED,BLOCKS FORMAL GD&T/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R250-H08,Provider capability/DFM response accepted,OPEN,NOT EXECUTED,BLOCKS FORMAL GD&T/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R250-H09,First articles measured and raw reports accepted,OPEN,NOT EXECUTED,BLOCKS FORMAL GD&T/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R250-H10,Received mating-part dry fits accepted,OPEN,NOT EXECUTED,BLOCKS FORMAL GD&T/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R250-H11,Configuration-bound qualified signature recorded,OPEN,NOT EXECUTED,BLOCKS FORMAL GD&T/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R250-H12,Separate fabrication/assembly authority issued,OPEN,NOT EXECUTED,BLOCKS FORMAL GD&T/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
